time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
12,602,47,4,,,,,,
12,1128,90,8,0.9527474641799927,127,-0.1615324467420578,10.409578323364258,0.0003,-2.8057913780212402
12,1475,116,12,0.8498345017433167,474,-0.5445733070373535,8.532108306884766,0.0003,-4.237586975097656
13,2007,153,16,0.7226618528366089,1006,-1.0755594968795776,5.21250057220459,0.0003,-6.730764389038086
12,2594,207,20,0.6062291860580444,1593,-1.6065956354141235,6.918327808380127,0.0003,-8.494307518005371
11,3036,256,24,0.5317424535751343,2035,-2.054734706878662,1.0962188243865967,0.0003,-10.061785697937012
11,3642,311,28,0.44483867287635803,2641,-2.548025608062744,5.054856300354004,0.0003,-11.53889274597168
11,4253,365,32,0.37145286798477173,3252,-3.1159322261810303,1.7075092792510986,0.0003,-11.83281135559082
11,4835,422,36,0.31284162402153015,3834,-3.548893690109253,2.0224456787109375,0.0003,-13.454699516296387
11,5420,478,40,0.2633616030216217,4419,-4.017863750457764,1.8599108457565308,0.0003,-13.262713432312012
11,5840,520,44,0.2329898178577423,4839,-4.4113030433654785,3.602020263671875,0.0003,-14.198083877563477
11,6449,575,48,0.19549033045768738,5448,-4.797271251678467,3.4756369590759277,0.0003,-13.734390258789062
11,7209,629,52,0.15754173696041107,6208,-4.838582515716553,4.0023512840271,0.0003,-14.889049530029297
11,7900,691,56,0.1297299861907959,6899,-5.19280481338501,2.827327251434326,0.0003,-12.864683151245117
11,8274,727,60,0.11705590039491653,7273,-5.453915119171143,3.921759605407715,0.0003,-13.293228149414062
11,8948,797,64,0.09737548977136612,7947,-5.50588846206665,2.6748056411743164,0.0003,-12.593706130981445
11,9594,857,68,0.0819079801440239,8593,-5.4920477867126465,3.278146505355835,0.0003,-12.929752349853516
11,9960,892,72,0.07422918826341629,8959,-5.515660762786865,3.6133246421813965,0.0003,-11.474204063415527
10,10532,962,76,0.06372752040624619,9531,-5.962073802947998,3.3811116218566895,0.0003,-14.014785766601562
10,11116,1018,80,0.05469304323196411,10115,-3.9376132488250732,3.564932346343994,0.0003,-10.926651954650879
10,11727,1090,84,0.047064390033483505,10726,-5.418815612792969,3.3426828384399414,0.0003,-12.280237197875977
10,12114,1129,88,0.04287319630384445,11113,-4.165603160858154,3.136462926864624,0.0003,-10.207478523254395
10,12625,1180,92,0.037945400923490524,11624,-3.367621421813965,2.8896255493164062,0.0003,-11.843382835388184
10,13447,1275,96,0.03108890913426876,12446,-3.2201385498046875,4.1793532371521,0.0003,-9.582359313964844
10,13977,1329,100,0.027740005403757095,12976,-3.8592207431793213,2.5777769088745117,0.0003,-10.185811042785645
10,14488,1385,104,0.02500826120376587,13487,-2.671727418899536,3.4337821006774902,0.0003,-8.251819610595703
10,15229,1464,108,0.02177579514682293,14228,-0.32809990644454956,5.447771072387695,0.0003,-8.98328971862793
10,15754,1524,112,0.020135236904025078,14753,-1.5227383375167847,3.699336528778076,0.0003,-7.357357501983643
10,16255,1581,116,0.018877744674682617,15254,-0.6043655872344971,6.020204544067383,0.0003,-9.258135795593262
