time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/std,train/n_updates,train/explained_variance,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_range
1,5120,4.862842103812653,179.0,12,398,,,,,,,,,,,
1,10240,4.862842103812653,179.0,12,416,0.050439417362213135,10,-0.008855938911437988,0.14093378767371179,3.144847536087036,0.010801936,159.4485626220703,0.0003,-0.003983622055966407,378.02837646484375,0.2
1,15360,-362.3198626795811,558.3333333333334,13,386,0.05054411664605141,20,0.47096097469329834,0.06561197906732559,3.133453426361084,0.0091856215,10.977775573730469,0.0003,-0.0056858940236270425,58.74079967498779,0.2
1,20480,-362.3198626795811,558.3333333333334,12,415,0.05056498199701309,30,0.026353895664215088,0.055086031649261714,3.1314375019073486,0.005053607,287.08734130859375,0.0003,-0.0044887424330227075,624.0928735351563,0.2
1,25600,-434.8494060971956,578.125,12,423,0.05053644999861717,40,0.31218045949935913,0.04583333346992731,3.131739549636841,0.0055771144,69.78959655761719,0.0003,-0.006112456337141339,161.40831466674805,0.2
1,30720,-434.8494060971956,578.125,12,412,0.05071435123682022,50,0.12253671884536743,0.08637676894664764,3.1295713424682616,0.0095230695,187.77627563476562,0.0003,-0.006640714379027485,344.467392578125,0.2
1,35840,-434.8494060971956,578.125,11,430,0.05087350308895111,60,-0.000988006591796875,0.04091796875,3.1223696088790893,0.005153263,344.8362121582031,0.0003,-0.005474330000579357,677.3895300292969,0.2
1,40960,-450.54322849612873,585.4166666666666,12,410,0.05086463689804077,70,-1.4066696166992188e-05,0.05671875,3.118356566429138,0.007160189,17.98638153076172,0.0003,-0.0040321611566469075,62.05887351989746,0.2
1,46080,-450.54322849612873,585.4166666666666,11,435,0.0508534237742424,80,-0.0008056163787841797,0.0790625,3.1202002477645876,0.008420093,138.65692138671875,0.0003,-0.005663521643728017,310.7680981445312,0.2
1,51200,-434.30332841446824,589.0625,11,428,0.050992175936698914,90,-0.00047338008880615234,0.08099609375,3.117318115234375,0.006240598,27.61334991455078,0.0003,-0.004247062117792666,75.31435813903809,0.2
1,56320,-434.30332841446824,589.0625,13,393,0.051051363348960876,92,-0.00020742416381835938,0.206787109375,3.1135816276073456,0.034819484,69.60699462890625,0.0003,0.01071665482595563,158.9341983795166,0.2
1,61440,-438.64092552196786,591.25,13,370,0.0510995090007782,102,-0.0005818605422973633,0.05595703125,3.108931345939636,0.0049390737,204.9363555908203,0.0003,-0.0014144273940473796,512.2590423583985,0.2
1,66560,-438.64092552196786,591.25,15,336,0.05120144039392471,112,-5.9485435485839844e-05,0.0753515625,3.108470721244812,0.006759838,291.9842834472656,0.0003,-0.0033562783664092422,549.229497680664,0.2
1,71680,-438.64092552196786,591.25,14,360,0.05123158544301987,122,0.00028651952743530273,0.060703125,3.1055238676071166,0.0067043914,446.70892333984375,0.0003,-0.0049367094412446026,941.0275805664063,0.2
1,76800,-470.8884437523669,595.46,13,366,0.05120953172445297,132,-0.00010454654693603516,0.05322265625,3.1053979635238647,0.008682247,155.7111053466797,0.0003,-0.0012732995976693928,294.9300506591797,0.2
1,81920,-470.8884437523669,595.46,13,385,0.051121797412633896,142,-0.0006120204925537109,0.11287109375,3.1071914052963256,0.015593504,219.5099639892578,0.0003,-0.004802092965692281,525.3466204833984,0.2
1,87040,-481.50757456156583,600.0,11,435,0.051325488835573196,152,1.424551010131836e-05,0.12033203125,3.1061641359329224,0.004226791,257.4046936035156,0.0003,0.0009868054743856192,530.6781109619141,0.2
1,92160,-481.50757456156583,600.0,11,428,0.05138973891735077,160,-0.0004614591598510742,0.15503589527027026,3.100006606127765,0.04068493,259.5400695800781,0.0003,0.0022651282598491053,553.9479848500845,0.2
1,97280,-490.3092898530652,600.0,11,427,0.05141277611255646,161,4.106760025024414e-05,0.2478515625,3.098285675048828,0.024001366,243.3740692138672,0.0003,0.007207147404551506,452.9212707519531,0.2
1,102400,-490.3092898530652,600.0,12,404,0.05149182677268982,171,-1.7762184143066406e-05,0.1412109375,3.0962666940689085,0.0143063385,318.1359558105469,0.0003,-0.0039020199701189995,717.7699304199218,0.2
