completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-41.08776371534891,-41.08776371534891,-0.41087763715348913,0.0
1,-38.25146235844739,-38.25146235844739,-0.3825146235844739,0.0
2,37.33455668052982,37.33455668052982,0.37334556680529823,0.0
3,-532.9266279226395,-532.9266279226395,-5.3292662792263945,0.0
4,-420.4366209488815,-420.4366209488815,-4.204366209488815,0.0
5,-72.36845963029198,-72.36845963029198,-0.7236845963029198,0.0
6,37.323389352385746,37.323389352385746,0.37323389352385744,0.0
7,-21.29956199852922,-21.29956199852922,-0.2129956199852922,0.0
8,-78.16239487333019,-78.16239487333019,-0.7816239487333019,0.0
9,-19.514531565915654,-19.514531565915654,-0.19514531565915655,0.0
10,-19.33514220375026,-19.33514220375026,-0.19335142203750258,0.0
11,37.40494420599518,37.40494420599518,0.3740494420599518,0.0
12,-1.4001662759838425,-1.4001662759838425,-0.014001662759838425,0.0
13,-26.903043537577283,-26.903043537577283,-0.2690304353757728,0.0
14,-26.90430106718633,-26.90430106718633,-0.2690430106718633,0.0
15,37.35792398879668,37.35792398879668,0.37357923988796676,0.0
16,-9.882442350929104,-9.882442350929104,-0.09882442350929103,0.0
17,-19.3427955258761,-19.3427955258761,-0.193427955258761,0.0
18,-111.34604885227031,-111.3460488522703,-1.113460488522703,1.4210854715202004e-14
19,-25.286630486191676,-25.286630486191672,-0.25286630486191675,3.552713678800501e-15
20,37.40457053690958,37.40457053690958,0.3740457053690958,0.0
21,37.40659196055309,37.40659196055309,0.37406591960553087,0.0
22,5.172738105035435,5.172738105035435,0.051727381050354355,0.0
23,-59.25666484221528,-59.25666484221528,-0.5925666484221528,0.0
24,37.249832727870974,37.249832727870974,0.37249832727870974,0.0
25,-24.23951656599774,-24.23951656599774,-0.2423951656599774,0.0
26,-59.23879482036107,-59.23879482036107,-0.5923879482036107,0.0
27,-31.923239530569447,-31.923239530569447,-0.31923239530569447,0.0
28,-72.57880392663348,-72.57880392663348,-0.7257880392663348,0.0
29,-125.55906194440134,-125.55906194440134,-1.2555906194440134,0.0
30,-140.38571211058732,-140.38571211058732,-1.4038571211058732,0.0
31,-208.47621295615846,-208.47621295615846,-2.0847621295615846,0.0
32,37.40591295896376,37.40591295896376,0.3740591295896376,0.0
33,37.402207083632845,37.402207083632845,0.37402207083632844,0.0
34,-248.24147211939305,-248.24147211939305,-2.4824147211939307,0.0
35,-56.24561637116394,-56.24561637116394,-0.5624561637116394,0.0
36,-316.2915660983632,-316.2915660983632,-3.162915660983632,0.0
37,-54.351463014339664,-54.351463014339664,-0.5435146301433966,0.0
38,37.40120758214916,37.40120758214916,0.37401207582149165,0.0
39,-28.84001083084697,-28.840010830846975,-0.28840010830846974,-3.552713678800501e-15
40,-17.463899881810114,-17.463899881810114,-0.17463899881810116,0.0
41,-17.449742378759517,-17.449742378759517,-0.17449742378759517,0.0
42,37.398925093155555,37.398925093155555,0.37398925093155555,0.0
43,37.32047551179995,37.32047551179995,0.3732047551179995,0.0
44,-34.53332418982188,-34.53332418982188,-0.34533324189821885,0.0
45,16.53212949754734,16.53212949754734,0.1653212949754734,0.0
46,-13.777751106483542,-13.777751106483542,-0.13777751106483543,0.0
47,37.21003536905417,37.21003536905417,0.3721003536905417,0.0
48,37.19084539707809,37.19084539707809,0.37190845397078093,0.0
49,37.20272529455348,37.20272529455348,0.3720272529455348,0.0
50,7.139618165207253,7.139618165207252,0.07139618165207252,-8.881784197001252e-16
51,-97.8372849025583,-97.8372849025583,-0.978372849025583,0.0
52,-109.18521602553784,-109.18521602553783,-1.0918521602553783,1.4210854715202004e-14
53,37.36929240948708,37.36929240948708,0.3736929240948708,0.0
54,37.304446533991246,37.304446533991246,0.3730444653399125,0.0
55,-109.22913810926708,-109.22913810926708,-1.0922913810926709,0.0
56,-44.93728046752292,-44.93728046752292,-0.44937280467522916,0.0
57,37.30869260828327,37.30869260828327,0.3730869260828327,0.0
58,37.02756786072905,37.02756786072905,0.3702756786072905,0.0
59,36.887125087871844,36.887125087871844,0.36887125087871847,0.0
60,37.39551740876522,37.39551740876522,0.3739551740876522,0.0
61,-141.41386098830966,-141.41386098830966,-1.4141386098830966,0.0
62,-132.82916260178953,-132.82916260178953,-1.3282916260178954,0.0
63,37.386990067029664,37.386990067029664,0.37386990067029663,0.0
64,-79.97560126708838,-79.97560126708838,-0.7997560126708838,0.0
65,37.27971716868986,37.27971716868986,0.3727971716868986,0.0
66,-192.5464968876908,-192.5464968876908,-1.925464968876908,0.0
