time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/entropy_loss
153,-1.3146406881765285,195.875,2560,1,16,,,,,,,,,,,
193,-0.6817951201300609,194.64705882352942,5120,1,13,0.1728859543800354,0.1426561363041401,0.2,0.1598062515258789,0.009999672882258892,0.0290069,0.2734375,0.0003,1,0.023991895839571953,2.3867125511169434
191,-0.6575135895427209,214.2,7680,1,13,0.6118719577789307,0.028766099829226732,0.2,0.018336564302444458,0.010003989562392235,0.018425036,0.1727262199856341,0.0003,11,-0.011965567359584383,2.4552221834659576
152,-0.4928037027551099,215.5,10240,1,16,0.8862971067428589,0.00797117545735091,0.2,0.0069088200107216835,0.010011112317442894,0.0085681565,0.13349401541054248,0.0003,21,-0.00992242775973864,2.5358213067054747
177,-0.5425421565910001,225.08823529411765,12800,1,14,0.6894270777702332,0.01595930161420256,0.2,0.013333063572645187,0.010034991428256035,0.010595118,0.12611758848652244,0.0003,31,-0.009727217793260934,2.4710769832134245
140,-0.5616832942993119,216.72727272727272,15360,1,18,0.7495782971382141,0.02691567342262715,0.2,0.005300489254295826,0.010060739703476429,0.014375443,0.13579167984426022,0.0003,41,-0.012603256872353086,2.483669263124466
160,-0.4783163669310089,223.48,17920,1,15,0.7011773586273193,0.016623941855505107,0.2,0.02114645205438137,0.010051744058728218,0.014084776,0.1451727432012558,0.0003,51,-0.011538406582549215,2.479305901527405
295,-0.44010527738681904,222.03389830508473,20480,1,8,0.823390781879425,0.015717300400137902,0.2,-0.000969521701335907,0.010070745833218098,0.01187475,0.1448451453819871,0.0003,61,-0.008667754841735587,2.4908482789993287
158,-0.41349811378452384,225.37704918032787,23040,1,16,0.5577311515808105,0.025900592654943468,0.2,-0.00029396964237093925,0.01006771344691515,0.015844418,0.17418305352330207,0.0003,71,-0.018416127166710795,2.5441465020179748
212,-0.6807017088256837,230.47142857142856,25600,1,12,0.7088519334793091,0.03219155485276133,0.2,0.016683371737599373,0.010066699236631393,0.018379454,0.12814187863841653,0.0003,81,-0.01072781957755069,2.5048927843570707
175,-0.6156871790600789,226.74666666666667,28160,1,14,0.819097101688385,0.02916261749342084,0.2,0.024662518873810768,0.01007951982319355,0.017748024,0.1657933848599593,0.0003,91,-0.012705306010320782,2.5314842303593954
246,-0.7498929192784234,233.80519480519482,30720,1,10,0.731229305267334,0.014513818034902214,0.2,0.01394566334784031,0.010088417679071426,0.013190538,0.1388881504535675,0.0003,101,-0.010688005184056238,2.49831183552742
152,-0.8069195312865565,242.54117647058823,33280,1,16,0.3660399317741394,0.15705152750015258,0.2,0.1131901890039444,0.010090518742799759,0.044105764,0.20863136500120164,0.0003,103,-0.001066964492201805,2.543440103530884
121,-0.8010536755466388,240.12765957446808,35840,1,20,0.9093317985534668,0.027626898419111968,0.2,0.0049104588106274605,0.010104946792125702,0.017193796,0.1658585522323847,0.0003,113,-0.015415906225098298,2.5053130745887757
196,-0.7123906382743037,240.36,38400,1,13,0.7025688886642456,0.0147263802587986,0.2,-0.00900283269584179,0.01009648758918047,0.014932436,0.1723487213253975,0.0003,123,-0.010889823439065367,2.5153845167160034
209,-0.7106892484073788,240.85,40960,1,12,0.8535419702529907,0.027371010510250926,0.2,-0.0037624547258019447,0.010081801563501358,0.018068999,0.17190899876877666,0.0003,133,-0.016361320327268912,2.5294587194919584
210,-0.7846313845309186,240.18,43520,1,12,0.9175840616226196,0.01319661249872297,0.2,0.02852851152420044,0.010067402385175228,0.016345177,0.1643202387727797,0.0003,143,-0.009484946132579353,2.531958985328674
378,-0.7909385305788286,231.75,46080,1,6,0.854251503944397,0.02956333584152162,0.2,-0.0018194261938333511,0.010099758394062519,0.017833471,0.18568431120365858,0.0003,153,-0.015569113452511375,2.557258498668671
221,-0.7084781391678007,229.59,48640,1,11,0.779635488986969,0.029647023417055607,0.2,0.0015822649002075195,0.010118200443685055,0.02060422,0.1732273798668757,0.0003,163,-0.015698366542346777,2.5798831224441527
287,-0.7723918130759343,227.13,51200,1,8,0.8086428642272949,0.01840313805732876,0.2,0.017099041491746902,0.010116641409695148,0.015035917,0.19360877126455306,0.0003,173,-0.010120983759679802,2.5383275747299194
256,-0.8917634817773314,228.45,53760,1,9,0.7354390025138855,0.09548952057957649,0.2,0.9071561694145203,0.01011635735630989,0.015577955,0.26611328125,0.0003,174,0.20385525352321565,2.5780988335609436
201,-0.9066736999503656,219.33,56320,1,12,0.9075847268104553,0.01803471550811082,0.2,-0.010679679922759533,0.010130088776350021,0.032200575,0.22086463356390595,0.0003,184,-0.01511196838109754,2.5518995225429535
216,-0.7358939480659693,214.84,58880,1,11,0.8077210187911987,0.018510425509884954,0.2,-0.004860261455178261,0.01012183353304863,0.01783311,0.1864251120015979,0.0003,194,-0.017164352454710752,2.5573581755161285
222,-0.5678436210293056,198.53,61440,1,11,0.860936164855957,0.024154178117616817,0.2,0.0355626605451107,0.01011565700173378,0.04421164,0.19358881623842394,0.0003,201,-0.011350297875021799,2.5277629173718967
335,-0.7473759211881945,204.64,64000,1,7,0.7773597836494446,0.04053588188253343,0.2,0.007856532000005245,0.010151573456823826,0.017111735,0.16973209492862223,0.0003,211,-0.015652982058236377,2.5403499066829682
235,-0.7690672491155888,203.29,66560,1,10,0.8459532856941223,0.041627277713269,0.2,-0.0037061707116663456,0.010170756839215755,0.029441454,0.16302459873259068,0.0003,221,-0.020256924613689383,2.552501885096232
206,-0.7711681563119971,203.86,69120,1,12,0.8485872745513916,0.017715872218832373,0.2,0.005461800843477249,0.010183870792388916,0.014902013,0.146252328902483,0.0003,231,-0.014138266179907077,2.5295414984226228
328,-0.7297666322165165,206.01,71680,1,7,0.7751334309577942,0.01681744840461761,0.2,-0.0021571265533566475,0.01017364114522934,0.01848366,0.17968749925494193,0.0003,241,-0.016553372920316178,2.5393556118011475
274,-0.6482544457650214,205.9,74240,1,9,0.8496430516242981,0.015169556035349767,0.2,-0.002330651506781578,0.010156886652112007,0.015061986,0.14584164867798488,0.0003,251,-0.016112597504009802,2.5499815225601195
218,-0.716174814054549,207.05,76800,1,11,0.7788769006729126,0.016130331872651973,0.2,-0.0008370359428226948,0.010120338760316372,0.023645692,0.21977514227231343,0.0003,261,-0.018473665711159507,2.566261053085327
332,-0.8207098979213027,217.72,79360,1,7,0.7719218134880066,0.03823268160223961,0.2,0.017790764570236206,0.010105089284479618,0.015892422,0.1761610773205757,0.0003,271,-0.00867056168615818,2.5621841049194334
264,-0.9347951809401028,223.78,81920,1,9,0.9133020043373108,0.018003356301536162,0.2,-0.01788482815027237,0.010092556476593018,0.01833246,0.19361732974648477,0.0003,281,-0.014465663923571508,2.570133845011393
225,-0.7607251848315889,220.45,84480,1,11,0.8795691728591919,0.028464342444203795,0.2,0.035018108785152435,0.010082020424306393,0.020262394,0.21596679659560322,0.0003,291,-0.01222572656988632,2.59195790886879
191,-0.7429972337552695,225.84,87040,1,13,0.8759213089942932,0.022953886608593165,0.2,0.008406891487538815,0.010081702843308449,0.020967238,0.20709301233291627,0.0003,301,-0.013474185322411358,2.581594341993332
268,-0.7530222478089736,224.51,89600,1,9,0.8956208229064941,0.016532700434327127,0.2,-0.015362709760665894,0.010104537010192871,0.022947377,0.21374155359342695,0.0003,311,-0.014253194064053787,2.59375497341156
217,-0.832226223621419,225.02,92160,1,11,0.9179562330245972,0.014667863445356488,0.2,-0.014639483764767647,0.010106032714247704,0.019711439,0.19951340234838427,0.0003,321,-0.011518734996207059,2.575426107645035
234,-0.8055408249350922,218.16,94720,1,10,0.8619430065155029,0.04518631668761373,0.2,0.015125146135687828,0.010068495757877827,0.017299242,0.18980189822614194,0.0003,331,-0.018031777764554134,2.613244342803955
214,-0.8418234549284541,215.61,97280,1,11,0.8888543248176575,0.05278469924814999,0.2,0.007872812449932098,0.01007615402340889,0.025334261,0.19551673103123904,0.0003,341,-0.015561083960346878,2.6156239748001098
220,-0.8444648079418414,214.58,99840,1,11,0.8116509914398193,0.022022351529449223,0.2,0.03484828397631645,0.010083804838359356,0.021423502,0.21022681385278702,0.0003,351,-0.0133252221532166,2.6083132934570314
