time,agent,route_target_index,route_target_distance_km,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
0.0,KL001,1,108.66326569812479,True,51.54406172756575,3.4145679934702704,150.0,152.40357712476657,108.74198944085256,-0.00617595774383517,-0.30078554153442383,0.08142507076263428,KL003,13.493137120800396,False,-4.505607225000858,0.08142507076263428,False,False,False,False,False,False,False,24.88343041849257,0.0,0.006175957823870704,-4.511783182824729,0.08142507076263428
0.0,KL002,1,38.26199624744021,True,53.16477495908522,3.706758381926668,150.0,152.40357712476657,129.269823888664,0.4698621007562451,0.2624342441558838,0.207655668258667,KL0010,21.661270926455057,False,39.64004248380661,0.207655668258667,False,False,False,False,False,False,False,40.11941305845957,0.0,35.70352792739868,3.9365145564079285,0.207655668258667
0.0,KL003,1,60.14942186884179,True,51.35549173775787,3.2183919766885767,150.0,152.40357712476657,103.61600376440458,0.528161151003502,0.23936092853546143,0.1328723430633545,KL001,13.493137120800396,False,44.88732308149338,0.1328723430633545,False,False,False,False,False,False,False,16.79363832184646,0.0,41.29691004753113,3.5904130339622498,0.1328723430633545
0.0,KL004,1,115.06976086656283,True,52.46483633340791,4.114915694302484,150.0,152.40357712476657,115.15001688645947,-0.0028989755385566696,-0.34481751918792725,0.29048633575439453,KL007,20.9483408363485,False,-5.169363766908646,0.29048633575439453,False,False,False,False,False,False,False,24.909457348890733,0.0,0.002898975508287549,-5.172262742416933,0.29048633575439453
0.0,KL005,1,79.38215648117159,True,51.11249707109626,4.932182673425535,150.0,152.40357712476657,108.51862267671072,0.3616892131773284,-0.2656975984573364,0.16987895965576172,KL008,50.14396864008335,False,-45.0,0.16987895965576172,False,False,False,False,False,False,False,87.51898197281356,0.0,-45.0,0.0,0.16987895965576172
0.0,KL006,1,82.87918695296534,True,50.98625086081322,3.133437498972976,150.0,152.40357712476657,101.10513021974512,-0.09449910599434475,0.05547523498535156,0.3296666145324707,KL003,22.398884186114838,False,2.05108892172575,0.3296666145324707,False,False,False,False,False,False,False,16.5376237072825,0.0,1.2189604807645082,0.8321284409612417,0.3296666145324707
0.0,KL007,1,37.610299113869964,True,52.21727912389153,3.712492709442181,150.0,152.40357712476657,108.30526903585458,-0.12871904709464843,-0.2511085271835327,0.536217212677002,KL004,20.9483408363485,False,8.851165696978569,0.536217212677002,False,False,False,False,False,False,False,22.864465934280915,0.0,12.617793828248978,-3.7666281312704086,0.536217212677002
0.0,KL008,1,58.530932281982814,True,51.22839635471295,3.613073945749417,150.0,152.40357712476657,149.86604893931894,0.1134313885797269,-0.31008368730545044,0.10080456733703613,KL003,16.66823369587413,False,6.981256976723671,0.10080456733703613,False,False,False,False,False,False,False,19.624592751795166,0.0,11.632512509822845,-4.6512555330991745,0.10080456733703613
0.0,KL009,1,66.3858862188635,True,51.5042031066267,2.4170026888584006,150.0,152.40357712476657,105.83974040476299,-0.0001116325427119591,0.486958384513855,0.38008975982666016,KL003,31.299412948284747,False,45.0,0.38008975982666016,False,False,False,False,False,False,False,57.26113410657839,0.0,45.0,0.0,0.38008975982666016
0.0,KL0010,1,28.649135187750197,True,52.809880261487,3.8145473142221857,150.0,152.40357712476657,168.91043495038485,0.013221708723506254,-0.5428256392478943,0.2871149778366089,KL002,21.661270926455057,False,-9.612663611769676,0.2871149778366089,False,False,False,False,False,False,False,38.772371054953354,0.0,-1.470279023051262,-8.142384588718414,0.2871149778366089
