completion_index,native_return,learning_return,shaping_return
56,-594.8169610964349,-594.8169610964349,0.0
57,-324.11131961758366,-324.11131961758366,0.0
58,-266.5628903625271,-266.5628903625271,0.0
59,-625.2730919343624,-625.2730919343624,0.0
60,-34.85951456331518,-34.85951456331518,0.0
61,-236.8825642517654,-236.8825642517654,0.0
62,-278.5074931130134,-278.5074931130134,0.0
63,-746.982743703846,-746.982743703846,0.0
64,-567.0138715389835,-567.0138715389835,0.0
65,-1583.994441784909,-1583.994441784909,0.0
66,-365.3922340280802,-365.3922340280802,0.0
67,-695.7292927590478,-695.7292927590478,0.0
68,-757.5713293053952,-757.5713293053952,0.0
69,-317.26330231635205,-317.26330231635205,0.0
70,-366.0848771770825,-366.0848771770825,0.0
71,-193.67495108692466,-193.67495108692466,0.0
72,-1.0986793435802953,-1.0986793435802953,0.0
73,-299.70428115299677,-299.70428115299677,0.0
74,-258.2933600512574,-258.2933600512574,0.0
75,-401.9145932781776,-401.9145932781776,0.0
76,-579.2683694182755,-579.2683694182755,0.0
77,-356.93744919306204,-356.93744919306204,0.0
78,-202.62360702295206,-202.62360702295206,0.0
79,-211.61368724173536,-211.61368724173536,0.0
80,-146.20203704078898,-146.20203704078898,0.0
81,-358.4827263036484,-358.4827263036484,0.0
82,-116.04332778883544,-116.04332778883544,0.0
83,-586.1154661851257,-586.1154661851257,0.0
84,-394.9678730956425,-394.9678730956425,0.0
85,-262.3072202377172,-262.3072202377172,0.0
86,-43.632814562979014,-43.632814562979014,0.0
87,-420.22023525355223,-420.22023525355223,0.0
88,-267.6232075306664,-267.6232075306664,0.0
89,-272.5797858223687,-272.5797858223687,0.0
90,-142.29259463441227,-142.29259463441227,0.0
91,-397.1909852840551,-397.1909852840551,0.0
92,-249.7437870987733,-249.7437870987733,0.0
93,-580.0840829062361,-580.0840829062361,0.0
94,-718.8722780232017,-718.8722780232017,0.0
95,-346.0109715359647,-346.0109715359647,0.0
96,-546.5915488435919,-546.5915488435919,0.0
97,-263.83442499468055,-263.83442499468055,0.0
98,-162.00900721064383,-162.00900721064383,0.0
99,-327.061645990869,-327.061645990869,0.0
100,-464.1234801094865,-464.1234801094865,0.0
101,-259.89796308638387,-259.89796308638387,0.0
102,-925.8888717724051,-925.8888717724051,0.0
