collection,live_transitions,padded_transitions,counted_transitions,replay_size,world_decisions,worlds_completed,aircraft_completed,optimizer_steps,actor_optimizer_steps,entropy_optimizer_steps,gradient_rounds,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,actor_loss,critic_loss,entropy_coefficient
31,27677,12003,39680,27677,3968,9,90,3468,3468,3468,3468,315.48927540000295,87.72722928508061,-1.489816146515089,-148.98161465150886,0.8777777777777778,0.23267389833927155,0.0017977571114897728,0.0035661535803228617
32,28649,12311,40960,28649,4096,9,95,3596,3596,3596,3596,323.56588490000286,88.54147280963781,-1.3917842870041597,-139.17842870041596,0.8842105263157894,0.21689118444919586,0.0009097734000533819,0.0034363053273409605
33,28923,13317,42240,28923,4224,9,99,3724,3724,3724,3724,329.8104183999967,87.6958348990721,-1.3205347471271613,-132.05347471271608,0.8888888888888888,0.24434888362884521,0.0020518717356026173,0.003312361193820834
34,29807,13713,43520,29807,4352,10,100,3852,3852,3852,3852,338.09681830000045,88.16113724427782,-1.3036351825142745,-130.3635182514274,0.89,0.2679547071456909,0.0009658398339524865,0.003191740019246936
35,30964,13836,44800,30964,4480,10,104,3980,3980,3980,3980,346.4692453000025,89.37012568947856,-1.3038648372142294,-130.38648372142296,0.89,0.22874972224235535,0.001231611706316471,0.003074863227084279
36,31536,14544,46080,31536,4608,10,106,4108,4108,4108,4108,352.40331819999847,89.48837417615478,-1.2929188957234141,-129.29188957234138,0.89,0.21993523836135864,0.0009989680256694555,0.002962141763418913
37,32316,15044,47360,32316,4736,11,110,4236,4236,4236,4236,359.77303720000054,89.82329596321387,-1.4429059088725376,-144.29059088725376,0.89,0.24492807686328888,0.0018672412261366844,0.0028565628454089165
38,33587,15053,48640,33587,4864,11,111,4364,4364,4364,4364,368.45051740000054,91.15742389781198,-1.4477409205502605,-144.77409205502607,0.89,0.27101370692253113,0.0016895013395696878,0.002755481284111738
39,34227,15693,49920,34227,4992,11,118,4492,4492,4492,4492,375.04967190000025,91.25991185809107,-1.3219938375136655,-132.19938375136655,0.89,0.2094906121492386,0.0018003282602876425,0.002657852601259947
40,34418,16782,51200,34418,5120,11,119,4620,4620,4620,4620,379.7575246999986,90.6315155366298,-1.2460607462755973,-124.60607462755974,0.89,0.2277027666568756,0.0011901503894478083,0.002562130568549037
41,34546,17934,52480,34546,5248,11,119,4748,4748,4748,4748,384.1738650999978,89.92282697577025,-1.2460607462755973,-124.60607462755974,0.89,0.24229389429092407,0.0017614830285310745,0.002471397165209055
42,35610,18150,53760,35610,5376,12,120,4876,4876,4876,4876,392.28524930000276,90.77578130593183,-1.253953521136561,-125.39535211365609,0.88,0.2660958170890808,0.0029989336617290974,0.0023832449223846197
43,36767,18273,55040,36767,5504,12,123,5004,5004,5004,5004,400.29129359999934,91.8506112619584,-1.24393281794831,-124.39328179483098,0.88,0.2387908399105072,0.0023924526758491993,0.0023003879468888044
44,37215,19105,56320,37215,5632,12,128,5132,5132,5132,5132,406.0297083999976,91.65585480591946,-0.9980328736567777,-99.80328736567775,0.88,0.24841171503067017,0.003124919719994068,0.002221460221335292
45,37346,20254,57600,37346,5760,12,129,5260,5260,5260,5260,411.06873749999795,90.85098571866021,-0.9243481821688853,-92.4348182168885,0.88,0.229983389377594,0.0015566934598609805,0.0021455627866089344
46,37618,21262,58880,37618,5888,13,130,5388,5388,5388,5388,416.5462320000006,90.30930329001258,-0.882319477423699,-88.23194774236988,0.87,0.2335277795791626,0.0013326004846021533,0.00207123882137239
47,38898,21262,60160,38898,6016,13,130,5516,5516,5516,5516,425.78824319999694,91.35527018703807,-0.882319477423699,-88.23194774236988,0.87,0.2225862592458725,0.0016532593872398138,0.0020002915989607573
48,40167,21273,61440,40167,6144,13,131,5644,5644,5644,5644,435.13009630000306,92.31032360562489,-0.8898964819124414,-88.98964819124413,0.87,0.25558003783226013,0.0007730444776825607,0.0019302332075312734
49,40899,21821,62720,40899,6272,13,136,5772,5772,5772,5772,441.85124630000064,92.56282593402734,-1.0831030594304318,-108.31030594304319,0.87,0.19457226991653442,0.004417893476784229,0.0018604662036523223
50,41365,22635,64000,41365,6400,13,137,5900,5900,5900,5900,447.6310933999994,92.40868342234793,-1.0831392994137279,-108.31392994137279,0.87,0.2508692741394043,0.0018690699944272637,0.001795201445929706
