rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss
188.625,107,23,1,0.09207608284137081,2560,,,,,,,,,,,
216.66666666666666,242,10,1,0.1229858636363904,5120,0.0003,0.06803383678197861,0.2958984375,3.1535892486572266,0.049999915063381195,0.036773283,0.17136675119400024,1,0.2,0.033716943114995956,0.13288047909736633
237.25,120,21,1,-0.28254529966811254,7680,0.0003,0.030504925549030303,0.19886621460318565,3.1524667263031008,0.050053782761096954,0.012966347,0.5552815198898315,11,0.2,-0.006859125087268048,0.026514902710914612
235.31578947368422,244,10,1,-0.47747105233118314,10240,0.0003,0.03716415324015543,0.19131706841289997,3.1522028893232346,0.04998096078634262,0.031404473,0.4544515609741211,19,0.2,0.0007152246034820564,0.06844346225261688
227.57692307692307,134,19,1,-0.5983029401140357,12800,0.0003,0.0235993969719857,0.19085286520421504,3.15525484085083,0.04993704706430435,0.021264767,0.5032937526702881,29,0.2,-0.013098801003070547,0.016102634370326996
221.08333333333334,120,21,1,-0.7763247850014169,15360,0.0003,0.0310406660893932,0.19435422103852035,3.1578312039375307,0.04988057538866997,0.017669342,0.5406769514083862,39,0.2,-0.008190863416530192,0.034832075238227844
211.55102040816325,121,21,1,-0.6093943502043818,17920,0.0003,0.01609544325619936,0.16625926978886127,3.161630082130432,0.049716874957084656,0.014084352,0.7378298044204712,49,0.2,-0.014626166271045803,0.013521277345716953
209.41666666666666,102,24,1,-0.5058090551908053,20480,0.0003,0.012238279858138412,0.17967838551849127,3.162935185432434,0.04982315003871918,0.01454428,0.7891639471054077,59,0.2,-0.013131772537599317,0.01568758673965931
205.36231884057972,123,20,1,-0.4204184296636135,23040,0.0003,0.016131618642248213,0.19030991066247224,3.1608239471912385,0.04982202872633934,0.01582158,0.6490768194198608,69,0.2,-0.008290652061987203,0.019693423062562943
206.80281690140845,145,17,1,-0.39807935936705857,25600,0.0003,0.011069512914400548,0.18788444455713033,3.158045154809952,0.04996182769536972,0.01480963,0.7986447811126709,79,0.2,-0.011548702359141317,0.0010529560968279839
209.8875,126,20,1,-0.4193916372649743,28160,0.0003,0.017870335405071578,0.22862066899736722,3.155844529469808,0.04991135001182556,0.027414313,0.6995877027511597,89,0.2,-0.012398993608076125,0.00917892623692751
209.95505617977528,146,17,1,-0.4836316191152564,30720,0.0003,0.00855567593825981,0.21942514702677726,3.1551628172397614,0.05003909021615982,0.01991497,0.8162581920623779,99,0.2,-0.016608146548969673,0.021023839712142944
209.02,102,24,1,-0.7119350230984135,33280,0.0003,0.03170731458812952,0.1676482359568278,3.148923699061076,0.050221554934978485,0.025967026,0.7283996939659119,109,0.2,-0.00998083389470897,0.019655276089906693
204.17,133,19,1,-0.7651939499660152,35840,0.0003,0.11185410721227526,0.1367739205248654,3.1466028153896333,0.05008673667907715,0.011672466,0.682174563407898,119,0.2,-0.008043621690012515,0.034656770527362823
201.41,125,20,1,-0.7181910085983955,38400,0.0003,0.03760776240378618,0.18738330863416194,3.1458674907684325,0.050363026559352875,0.018131223,0.8341636061668396,129,0.2,-0.011880209724768064,0.01622319594025612
202.72,138,18,1,-0.7867931319413839,40960,0.0003,0.05251514073461294,0.19813161808997393,3.1381239175796507,0.050365421921014786,0.0155402785,0.8060041666030884,139,0.2,-0.007006385835120454,0.04919040948152542
201.41,168,15,1,-0.6789839478755344,43520,0.0003,0.013854065785805385,0.1589006700863441,3.135540000597636,0.05058249086141586,0.018687084,0.904902458190918,149,0.2,-0.012525592135716579,0.0044310675002634525
196.21,98,26,1,-0.6936948941042982,46080,0.0003,0.03545015705749392,0.1916158934434255,3.131410511334737,0.050454940646886826,0.019858325,0.646369993686676,159,0.2,-0.01804272540224095,0.008369495160877705
202.43,116,22,1,-0.686396646932026,48640,0.0003,0.03184157874435187,0.20794788528233765,3.1314328002929686,0.05068298429250717,0.016699882,0.8130459189414978,169,0.2,-0.015773187761660666,0.0097202118486166
201.73,104,24,1,-0.7088904866117869,51200,0.0003,0.014407728030346335,0.21049602776765824,3.123904126882553,0.05080415681004524,0.012935692,0.8726077079772949,179,0.2,-0.004880310743465089,0.023729467764496803
204.98,187,13,1,-0.9457369996796214,53760,0.0003,0.01313328481046483,0.18139516431838273,3.1237944960594177,0.05068100616335869,0.0253863,0.8785102367401123,189,0.2,-0.014982808122294956,0.007716977037489414
205.32,140,18,1,-1.0262861652492024,56320,0.0003,0.06383301126770675,0.22221679780632259,3.1256198287010193,0.05074385553598404,0.026339054,0.8252918124198914,199,0.2,-0.016009347466751932,-0.003090605139732361
207.75,199,12,1,-1.0325517757632938,58880,0.0003,0.033766968584642176,0.20472377102549483,3.1227945641773505,0.050808146595954895,0.074963324,0.7946609854698181,208,0.2,-0.0064939806385465515,0.07120707631111145
204.61,109,23,1,-1.0470446644605418,61440,0.0003,0.01275585771072656,0.24804036542773247,3.1194949388504027,0.050902917981147766,0.020659897,0.9551478624343872,218,0.2,-0.012209222395904362,0.009821295738220215
207.37,111,22,1,-1.0559486507656946,64000,0.0003,0.04628398274071514,0.21365962103009223,3.1107187449932097,0.05129966139793396,0.019708723,0.8511044979095459,228,0.2,-0.008341896868660114,0.03142954781651497
209.57,86,29,1,-0.9992359973816407,66560,0.0003,0.05517156220972538,0.17043448507785797,3.0968142986297607,0.05153758078813553,0.020434937,0.8139384984970093,238,0.2,-0.009050150169059634,0.045124102383852005
212.73,134,19,1,-1.0318128190487141,69120,0.0003,0.03244196241721511,0.20264981891959905,3.089934319257736,0.051738299429416656,0.021859163,0.86103755235672,248,0.2,-0.01712374947965145,0.023283544927835464
208.8,348,7,1,-0.9705669027209389,71680,0.0003,0.03229714538902044,0.18482421832159163,3.081814247369766,0.05189083516597748,0.019666985,0.8766599893569946,258,0.2,-0.010047587941517121,0.041131481528282166
210.38,171,14,1,-0.9510123589966595,74240,0.0003,0.006828326825052499,0.1643335934728384,3.0806066036224364,0.051825448870658875,0.014061104,0.6051840782165527,268,0.2,-0.009870434226468206,0.03110748529434204
210.0,210,12,1,-0.9528770824615451,76800,0.0003,0.013905331818386912,0.1750842900481075,3.083327215909958,0.05173688381910324,0.01809948,0.7772737741470337,278,0.2,-0.015476302600291092,0.021427415311336517
207.25,116,21,1,-0.9187764960726632,79360,0.0003,0.020390278846025466,0.22532429173588753,3.08674213886261,0.051715314388275146,0.025855271,0.8971001505851746,288,0.2,-0.01435340077150613,1.3997778296470642e-05
207.64,142,17,1,-0.9764394697468436,81920,0.0003,0.015628346875309944,0.17983259052038192,3.086009464263916,0.051723629236221313,0.02898262,0.8551441431045532,293,0.2,-0.0038544133957475425,-0.03752486780285835
208.9,164,15,1,-0.9255596426621598,84480,0.0003,0.02043913840316236,0.21670465525239707,3.083258593082428,0.051894187927246094,0.025683995,0.851198673248291,303,0.2,-0.01826323518762365,0.004568035248667002
210.46,155,16,1,-0.9251887715949867,87040,0.0003,0.04674370453826019,0.2231611403680983,3.0740474121911183,0.05216855928301811,0.045666687,0.7757889032363892,312,0.2,-0.0032533161741282257,0.054389066994190216
201.66,95,26,1,-0.832134607410688,89600,0.0003,0.008064750843914226,0.24140625,3.069581800699234,0.05206703022122383,0.02035427,0.919424295425415,322,0.2,-0.0109914809348993,-0.042419977486133575
201.0,128,19,1,-1.288292895039019,92160,0.0003,0.12929312102496623,0.20517149418592454,3.072406029701233,0.05212021619081497,0.01700468,0.8169967532157898,332,0.2,-0.020420653169276194,0.013236133381724358
196.44,102,25,1,-1.1239658867792328,94720,0.0003,0.058362588943804014,0.15303308823529413,3.069518566131592,0.052184075117111206,0.044455383,0.842087984085083,336,0.2,-0.0042821196017458155,0.07439134269952774
195.79,61,41,1,-1.0562356436466493,97280,0.0003,0.02289604479447007,0.20732488334178925,3.070493072271347,0.052006714046001434,0.02483305,0.8705965280532837,346,0.2,-0.02039805658860132,0.008652228862047195
198.93,125,20,1,-1.0866107493169368,99840,0.0003,0.04837401969019662,0.1572265625,3.074698339809071,0.052060361951589584,0.046921697,0.8313370943069458,351,0.2,-0.01218764515942894,0.09171396493911743
200.44,91,27,1,-1.1010261444108604,102400,0.0003,0.06155511690303683,0.18122738422825932,3.0709943771362305,0.05218043178319931,0.013243939,0.7311040163040161,361,0.2,-0.00956700686365366,0.029561256989836693
202.55,93,27,1,-1.0914153446578219,104960,0.0003,0.016931700310669838,0.17367513049393893,3.063249272108078,0.05241639167070389,0.017810358,0.5747248530387878,371,0.2,-0.017352971450964105,-0.0007013254798948765
202.35,88,28,1,-1.2498384243106655,107520,0.0003,0.02172774833161384,0.1812936205416918,3.06050586104393,0.05231170356273651,0.016352708,0.5756042003631592,381,0.2,-0.012443965097190812,0.040995847433805466
202.54,82,31,1,-1.3143511978064157,110080,0.0003,0.06134525565430522,0.18373267501592636,3.065564531087875,0.05219648405909538,0.016866166,0.7100537419319153,391,0.2,-0.012212335865478962,0.022667616605758667
205.97,243,10,1,-1.2870987994632614,112640,0.0003,0.026246870029717685,0.19408479072153567,3.066536098718643,0.05225696787238121,0.020765675,0.781983494758606,401,0.2,-0.019154892617370932,0.007869093678891659
196.2,102,24,1,-1.1591359653321127,115200,0.0003,0.017413273733109236,0.23662109412252902,3.0652852773666384,0.05227793753147125,0.026006958,0.8109312057495117,411,0.2,-0.005832152313087135,0.02671966701745987
200.4,125,20,1,-1.1480237168795422,117760,0.0003,0.022718335059471427,0.21790344957262278,3.0610975086688996,0.05245841294527054,0.027800128,0.8683022260665894,421,0.2,-0.015217432315694168,0.013180183246731758
200.24,103,24,1,-0.7726486889741654,120320,0.0003,0.011504469905048609,0.2156529024243355,3.056798791885376,0.05250609666109085,0.043379992,0.7838187217712402,424,0.2,-0.002816515415906906,0.05401146411895752
202.64,199,12,1,-0.690029337030012,122880,0.0003,0.017113889497704805,0.21769238896667958,3.050861048698425,0.052760787308216095,0.021599784,0.8534131050109863,434,0.2,-0.014704411187267397,0.012922876514494419
210.66,115,22,1,-0.6177361021985167,125440,0.0003,0.003908572404179722,0.214409951120615,3.046243929862976,0.052735425531864166,0.016676063,0.9123172760009766,444,0.2,-0.004978755465708673,0.002215948887169361
212.06,107,23,1,-0.6806082363910407,128000,0.0003,0.025587427119414013,0.23714949563145638,3.0477267702420554,0.05270940810441971,0.026161991,0.841224730014801,447,0.2,0.005983240053562137,0.0830962136387825
207.84,114,22,1,-0.9078968920172256,130560,0.0003,0.05375234633684158,0.17700077388435603,3.0471333086490633,0.052736036479473114,0.022721952,0.8830782175064087,457,0.2,-0.020606022531865165,0.00020445417612791061
203.04,134,18,1,-1.0277108861863047,133120,0.0003,0.06645941752940417,0.20130342599004508,3.0478859603405,0.05271041393280029,0.01749833,0.8329375982284546,467,0.2,-0.02008576658554375,0.020120596513152122
203.26,105,24,1,-1.0847376374141886,135680,0.0003,0.04476239802315831,0.16931352466344834,3.047450977563858,0.05277314782142639,0.018647507,0.7815830111503601,477,0.2,-0.012584594846703111,0.02867700159549713
209.66,137,18,1,-1.1536177238805718,138240,0.0003,0.037392414268106224,0.22962687788531183,3.043122923374176,0.05288688465952873,0.018652651,0.831618070602417,487,0.2,-0.011246855492936447,0.016929209232330322
211.4,152,16,1,-1.0097695364807555,140800,0.0003,0.010772865948577721,0.18741273308793704,3.041900046666463,0.05285279080271721,0.020418199,0.9278756976127625,497,0.2,-0.008669263244761775,0.026335176080465317
