time,agent,lat,lon,heading_deg,cas_mps,tas_mps
0.0,AC1,52.76713535399748,5.297960911364292,275.20281690217075,153.20431197422334,155.65307865846125
0.0,AC2,52.42170114919203,5.945566538219692,290.1467691809239,148.67299220382037,151.05775114828523
0.0,AC3,53.02093631839292,2.7161868927697004,101.74317056271786,176.52234470293655,179.28892097663368
0.0,AC4,51.01113246334233,2.6773348372257724,3.456607357717928,158.15326156649627,160.67111718732633
0.0,AC5,52.49971107733903,5.729028272293722,289.89341385400894,129.15872798770326,131.2599788655206
0.0,AC6,52.995551213466086,4.307157193806779,236.5758990272725,124.6521918365667,126.68623844423946
0.0,AC7,52.60867936995256,5.099074076810254,290.7490408537315,136.77908221832996,138.99252351909092
0.0,AC8,52.96444915111144,3.5542402461609415,113.13254463838933,161.636689177211,164.20265408224935
0.0,AC9,52.61505547273107,3.1759299222616266,198.47380184336728,132.91292338457282,135.06967623055806
0.0,AC10,50.96907437305949,3.044848091394044,77.25282775405043,159.27288678812255,161.80625268157615
10.0,AC1,52.76840272460564,5.274920147352597,275.18629994581715,153.20431197422334,155.65307865846125
10.0,AC2,52.426378500164546,5.92465124649308,290.1318460432225,148.67299220382017,151.05775114828523
10.0,AC3,53.017726317920456,2.7418364567037523,101.7616588756802,169.13434271053046,171.8023711743955
10.0,AC4,51.025555669390435,2.6787199473183128,3.4575763595204005,158.1532615664963,160.67111718732633
10.0,AC5,52.50372654758032,5.710792839344338,289.88038537834393,129.15872798770326,131.2599788655206
10.0,AC6,52.98927455142611,4.2913607111243195,236.56454031775456,124.65219183656647,126.68623844423946
10.0,AC7,52.613106371274576,5.079822952469074,290.7352690682287,136.77908221833002,138.99252351909092
10.0,AC8,52.95864583550113,3.5767834044965268,113.14874607120697,161.6366891772109,164.20265408224935
10.0,AC9,52.60353416964512,3.169592204218951,198.4692696007051,132.91292338457302,135.06967623055806
10.0,AC10,50.97228321701178,3.067387428922359,77.2685981616151,159.2728867881226,161.80625268157615
20.0,AC1,52.76966562967755,5.251878044151685,275.167946407402,153.20431197422334,155.65307865846125
20.0,AC2,52.43105215935266,5.903731516945743,290.1152604113086,148.67299220382017,151.05775114828523
20.0,AC3,53.0146500402393,2.7663725589879262,101.78133875089877,162.99999999999994,165.5846750214427
20.0,AC4,51.039978859055914,2.6801059196258006,3.4586538733411927,158.1532615664963,160.67111718732633
20.0,AC5,52.507739212738414,5.692554074809769,289.8659059246394,129.15872798770326,131.2599788655206
20.0,AC6,52.982995795487895,4.275568820770747,236.5519239230095,124.65219183656647,126.68623844423946
20.0,AC7,52.61753025005563,5.060567935474356,290.71996322300646,136.77908221833002,138.99252351909092
20.0,AC8,52.95283825456607,3.599320509125887,113.16674181728133,161.6366891772109,164.20265408224935
20.0,AC9,52.59201252845747,3.1632578196004264,198.4642370245044,132.91292338457302,135.06967623055806
20.0,AC10,50.97548771964934,3.089929880257121,77.2861241127807,159.2728867881226,161.80625268157615
30.0,AC1,52.77092406873454,5.228834606348408,275.14959143603454,153.20431197422334,155.65307865846125
30.0,AC2,52.4357221253413,5.882807351388193,290.09867018302486,148.67299220382017,151.05775114828523
30.0,AC3,53.01160684875443,2.7906017684989544,101.80069982235463,162.99999999999994,165.5846750214427
30.0,AC4,51.0544020323201,2.681492755128407,3.4597322777297888,158.1532615664963,160.67111718732633
30.0,AC5,52.511749071869545,5.674311979913167,289.85142292177954,129.15872798770326,131.2599788655206
30.0,AC6,52.97671494672299,4.259781521910891,236.53931215001475,124.65219183656647,126.68623844423946
30.0,AC7,52.62195100515068,5.0413090271556245,290.7046533132675,136.77908221833002,138.99252351909092
30.0,AC8,52.94702641033745,3.6218515584967674,113.18473140901828,161.6366891772109,164.20265408224935
30.0,AC9,52.580490549486555,3.1569267653634276,198.45920786533154,132.91292338457302,135.06967623055806
30.0,AC10,50.97868787981745,3.1124754419879332,77.30365351676764,159.2728867881226,161.80625268157615
40.0,AC1,52.772178041299284,5.205789838531545,275.1312350353761,153.20431197422334,155.65307865846125
40.0,AC2,52.44038839671571,5.861878751635388,290.0820753597226,148.67299220382017,151.05775114828523
40.0,AC3,53.00855873210746,2.8148275577241537,101.82005743960632,162.99999999999994,165.5846750214427
40.0,AC4,51.06882518916433,2.682880454807739,3.4608115736543414,158.1532615664963,160.67111718732633
40.0,AC5,52.5157561240295,5.656066555879887,289.836936367367,129.15872798770326,131.2599788655206
40.0,AC6,52.97043200620217,4.243998813708479,236.52670499545897,124.65219183656647,126.68623844423946
40.0,AC7,52.62636863541465,5.022046228845572,290.6893393390156,136.77908221833002,138.99252351909092
40.0,AC8,52.94121030484648,3.6443765510634414,113.20271484571224,161.6366891772109,164.20265408224935
40.0,AC9,52.56896823305044,3.1505990384688167,198.45418212013666,132.91292338457302,135.06967623055806
40.0,AC10,50.981883696360455,3.135024110701022,77.32118637842581,159.2728867881226,161.80625268157615
50.0,AC1,52.77342754689578,5.182743745291811,275.11287720906284,153.20431197422334,155.65307865846125
50.0,AC2,52.44505097206139,5.84094571950673,290.0654759427474,148.67299220382017,151.05775114828523
50.0,AC3,53.00550569152563,2.8390499219918444,101.83941159863853,162.99999999999994,165.5846750214427
50.0,AC4,51.08324832956991,2.6842690196468464,3.4618917620844925,158.1532615664963,160.67111718732633
50.0,AC5,52.51976036827357,5.637817803937476,289.8224462588447,129.15872798770326,131.2599788655206
50.0,AC6,52.964146974995366,4.2282206953261525,236.5141024559171,124.65219183656647,126.68623844423946
50.0,AC7,52.630783139702416,5.002779541880046,290.6740213002153,136.77908221833002,138.99252351909092
50.0,AC8,52.935389940124324,3.666895485286699,113.22069212669119,161.6366891772109,164.20265408224935
50.0,AC9,52.557445579466794,3.144274635880939,198.44915978587187,132.91292338457302,135.06967623055806
50.0,AC10,50.98507516812167,3.1575758829792666,77.33872270304886,159.2728867881226,161.80625268157615
60.0,AC1,52.77467258504931,5.159696331221835,275.09451796070704,153.20431197422334,155.65307865846125
60.0,AC2,52.44970984996414,5.820008256826071,290.0488719334344,148.67299220382017,151.05775114828523
60.0,AC3,53.002447728237556,2.863268856635538,101.85876229545879,162.99999999999994,165.5846750214427
60.0,AC4,51.09767145351812,2.6856584506302195,3.4629728439913245,158.1532615664963,160.67111718732633
60.0,AC5,52.52376180365654,5.619565725315657,289.8079525934891,129.15872798770326,131.2599788655206
60.0,AC6,52.95785985417177,4.212447165925503,236.50150452784186,124.65219183656647,126.68623844423946
60.0,AC7,52.63519451686886,4.9835089675980475,290.658699196789,136.77908221833002,138.99252351909092
