time,agent,route_target_index,route_target_distance_km,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
0.0,KL001,1,21.49403918566716,True,52.84703706924074,3.6055189093691933,150.0,152.40357712476657,113.42232324923368,-0.18279984719464437,-0.03852266073226929,0.24978315830230713,AC8,7.289938489042999,False,0.0,0.24978315830230713,True,False,False,False,True,False,False,10.454044979613723,0.0,-17.164186388254166,-0.5778403580188751,0.24978315830230713
10.0,KL001,1,20.006797388996876,True,52.84441436383422,3.627924606926667,150.8561867245978,153.27187320958427,111.88955108633431,-0.1853101178710972,-0.04096531867980957,0.24748754501342773,AC8,7.10418652799431,False,5.000000000000002,0.24748754501342773,True,False,False,False,True,False,False,11.152255356633683,0.0,-18.467793613672256,-0.6144793331623077,0.24748754501342773
20.0,KL001,1,18.57043367087995,True,52.84071565134003,3.6500375762860644,151.70449763421655,154.1321571192491,110.35425009104485,4.875160943743481,-0.030182957649230957,0.25012457370758057,AC8,6.978019965206908,False,0.0,0.25012457370758057,True,False,False,False,True,False,False,10.987540374300158,0.0,-25.33451020717621,-0.4527434706687927,0.25012457370758057
30.0,KL001,1,17.155209683683243,True,52.836880716833186,3.672223591341144,152.56184987434472,155.00158462934525,108.81139149683699,4.944675477196199,-0.03499019145965576,0.2576112747192383,AC8,6.860303009677095,False,0.0,0.2576112747192383,True,False,False,False,True,False,False,10.812304310734374,0.0,-27.564294934272766,-0.5248519778251648,0.2576112747192383
40.0,KL001,1,15.762843537317448,True,52.83302362810506,3.6945357974207305,153.4448759817802,155.89702088822037,107.25978646879778,5.016608723465822,-0.03700864315032959,0.2574596405029297,AC8,6.744966081784098,False,0.0,0.2574596405029297,True,False,False,False,True,False,False,10.643091055684446,0.0,-30.206584632396698,-0.5551287531852722,0.2574596405029297
50.0,KL001,1,14.402939110039757,True,52.829144398945935,3.716974081068137,154.32737923682055,156.79189976578667,105.69945082909135,5.091084891936532,-0.03968369960784912,0.25663721561431885,AC8,6.632058585628377,False,-10.000000000000004,-1.0,True,False,False,False,True,False,True,8.316106606621245,48.34822911023579,-33.372208178043365,-0.5952546000480652,0.25663721561431885
60.0,KL001,1,13.01200475741204,True,52.82711703348403,3.7395837740113684,150.89726257455263,153.31352937445297,104.16448641120827,-4.944893499515558,-0.08942955732345581,0.2615854740142822,AC8,6.414111213737432,False,-5.000000000000002,1.0,True,False,False,False,True,False,True,7.040005719011308,71.49265378524962,-26.35728746652603,-1.3414424657821655,0.2615854740142822
70.0,KL001,1,11.549524784319043,True,52.8267601385603,3.7628418246194095,154.32641013637476,156.7909170902753,102.62020680902661,-10.088609922815976,-0.05035120248794556,0.24477458000183105,AC8,6.107965234331401,False,0.0,1.0,True,False,False,False,True,False,True,6.748816010853045,87.18256276014657,-24.292957484722137,-0.7552671432495117,0.24477458000183105
80.0,KL001,1,10.088502497780294,True,52.82651721238655,3.7866220709428657,157.75554681051628,160.2678821298411,101.04443123598544,-10.24765535119991,-0.03395205736160278,0.22930598258972168,AC8,5.803892292945157,False,0.0,1.0,True,False,False,False,True,False,True,6.567975416372033,113.00668980428009,-28.0947607755661,-0.5092817544937134,0.22930598258972168
90.0,KL001,1,8.657288582854958,True,52.82626903405178,3.810916318253551,161.18467259701157,163.7444192548096,99.43541658118261,-10.41534358312191,-0.017799317836761475,0.21249210834503174,AC8,5.51060772519441,False,0.0,1.0,True,False,False,False,True,False,True,6.380432014780889,139.73372133549137,-33.279575407505035,-0.2669897675514221,0.21249210834503174
100.0,KL001,1,7.307044319604568,True,52.82601746481253,3.8355423604419543,162.99999999999994,165.5846750214427,97.80531576554118,-10.590952364659472,-0.013828516006469727,0.19886291027069092,AC8,5.227946735276809,False,0.0,0.19886291027069092,True,False,False,False,True,False,True,6.141859152859664,157.2864302052576,-40.54533630609512,-0.20742863416671753,0.19886291027069092
110.0,KL001,1,4.868922948465672,True,52.82576573793667,3.86018369091131,162.99999999999994,165.5846750214427,96.17514435589082,-10.772627950281162,-0.01085895299911499,0.30760657787323,AC8,4.953232817823518,False,5.000000000000002,0.30760657787323,True,False,False,False,True,False,True,6.566054419158521,163.96667854253985,-13.336086720228195,-0.16288384795188904,0.30760657787323
