time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
12,5120,1,422,,,,,,,,,,,,,
12,10240,1,424,99.7379379272461,0.03546875,0.007735311985015869,10,0.2,215.11132080078124,-0.0067605462949723,0.6105102896690369,0.004580725,-1.8451636123657227,0.0003,,
12,15360,1,417,99.94529724121094,0.019453125,0.11698323488235474,20,0.2,222.70432220458986,-0.003800362916663289,0.6110503673553467,0.0054236106,-1.8522936177253724,0.0003,-303.959802572717,600.0
12,20480,1,425,318.330810546875,5.859375e-05,-0.07645821571350098,30,0.2,704.6806274414063,-0.0007528344029560685,0.6117801070213318,0.00074523984,-1.8535743618011475,0.0003,-305.2538774206137,588.6666666666666
12,25600,1,415,317.0572509765625,0.004872661144472659,0.025325298309326172,40,0.2,688.3640405273437,-0.001713984593989153,0.6122652292251587,0.0037608915,-1.8561043095588685,0.0003,-466.28573695490365,594.05
12,30720,1,422,149.43106079101562,0.01391656842082739,0.12678515911102295,50,0.2,357.71898559570315,-0.0024836047089775094,0.6128010153770447,0.0034016897,-1.8575283002853393,0.0003,-466.28573695490365,594.05
11,35840,1,435,380.3895263671875,0.00640625,-0.0005549192428588867,60,0.2,764.8346875,-0.0017036030953750014,0.6129695177078247,0.004486871,-1.8588182640075683,0.0003,-466.28573695490365,594.05
11,40960,1,429,16.30844497680664,0.01689453125,0.005513966083526611,70,0.2,57.57949867248535,-0.002905263453722,0.6117992997169495,0.0036637424,-1.857614643573761,0.0003,-478.7007663784864,596.0333333333333
11,46080,1,444,369.5992736816406,0.0016015625,0.00027549266815185547,80,0.2,717.07052734375,-0.00245485958410427,0.6119474172592163,0.0020693087,-1.8547023105621339,0.0003,-474.21382195036114,591.7704918032787
11,51200,1,430,122.88636779785156,0.04820622798986733,0.29203182458877563,90,0.2,262.2120172119141,-0.004073621920397273,0.6128032207489014,0.005071885,-1.857040162086487,0.0003,-466.75735636154275,593.725
11,56320,1,427,122.0782699584961,0.03527209043968469,0.1529090404510498,100,0.2,263.8205883789062,-0.0041725733742350715,0.6189582943916321,0.007934203,-1.8652491497993469,0.0003,-466.75735636154275,593.725
14,61440,1,345,120.09557342529297,0.173828125,0.0013197064399719238,110,0.2,249.3109265136719,0.0014973153895698487,0.6212122440338135,0.0033750907,-1.8838745713233949,0.0003,-458.6758281229049,594.98
13,66560,1,388,106.35595703125,0.01203125,4.0531158447265625e-05,120,0.2,192.70571990966798,-0.00411849170923233,0.6216868758201599,0.0033643157,-1.8872796368598939,0.0003,-458.6758281229049,594.98
13,71680,1,372,55.71300506591797,0.13228515625,0.001278221607208252,130,0.2,136.3568002319336,0.0005072239506989717,0.6227253079414368,0.0031833567,-1.8884928679466249,0.0003,-453.80459585552194,592.35
15,76800,1,330,9.339702606201172,0.014250975367613137,0.8725076913833618,140,0.2,51.27034454345703,-0.003882470232056221,0.623347282409668,0.0051587154,-1.8920852637290955,0.0003,-465.7302429268817,592.35
14,81920,1,343,142.32449340820312,0.06355065726209431,0.04781454801559448,150,0.2,292.840771484375,-0.0020248204366362186,0.6246490478515625,0.009463733,-1.8942810106277466,0.0003,-465.7302429268817,592.35
13,87040,1,387,11.186582565307617,0.05302734375,0.002900063991546631,160,0.2,35.983389930725096,0.0008517608465626836,0.6256832480430603,0.0025991944,-1.8983376121520996,0.0003,-409.08224919996763,594.73
12,92160,1,395,103.42607879638672,0.02259765625,-0.0003502368927001953,170,0.2,237.63504028320312,-0.0029682005825452506,0.6263870000839233,0.0046434524,-1.901473639011383,0.0003,-405.06663481657347,590.82
15,97280,1,330,23.147920608520508,0.040198887288570406,0.7880085706710815,180,0.2,61.541692390441895,-0.0003928609448485076,0.62632155418396,0.0035319314,-1.9010144925117494,0.0003,-371.0309057109222,590.82
11,102400,1,439,119.22624206542969,0.04786057699937373,0.4109540581703186,190,0.2,285.4401657104492,-0.00426485046336893,0.6258879899978638,0.006188069,-1.9021261167526244,0.0003,-371.0309057109222,590.82
