time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/value_loss,train/explained_variance,train/std,train/n_updates,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
13,184,2560,0.1790703390467025,162.5,1,,,,,,,,,,,
8,286,5120,0.10292859968399035,169.47368421052633,1,0.13301265984773636,0.06284946590662002,0.1287943720817566,0.04999874532222748,10,0.0151690524071455,3e-05,0.2,0.012152285,3.1535320186614992,-0.016097508571110666
12,199,7680,-0.03858984817036948,176.20833333333334,1,0.10477134939283132,0.04174861032515764,0.3862535357475281,0.0500069186091423,20,0.017577236518263817,3e-05,0.2,0.013237841,3.1535017410914103,-0.015628303711613018
9,257,10240,-0.10260324494643526,189.53333333333333,1,0.10226821675896644,0.05117053929716349,0.5133395195007324,0.05002175271511078,30,0.02726145274937153,3e-05,0.2,0.01073646,3.1529905796051025,-0.01065271814877633
12,198,12800,-0.4846514904889506,191.925,1,0.08577514166633288,0.07021964229643345,0.7429770231246948,0.0500127375125885,40,0.06153435260057449,3e-05,0.2,0.0068116165,3.152822756767273,-0.012904110671176265
13,186,15360,-0.4851309713219172,187.06,1,0.12696419302374123,0.054099271446466445,0.7657879590988159,0.05003415420651436,50,0.009844878688454628,3e-05,0.2,0.011382254,3.1527685940265657,-0.017358474925276823
18,135,17920,-0.44236386924466997,189.0,1,0.06660156266298145,0.05563241355121136,0.7064220905303955,0.05002249777317047,60,0.027482282370328903,3e-05,0.2,0.00776239,3.152402478456497,-0.013397911242282134
19,132,20480,-0.45313771796841523,191.046875,1,0.09560546875,0.02861491485964507,0.7589110732078552,0.050031647086143494,70,0.033097706735134125,3e-05,0.2,0.012360247,3.1525828182697295,-0.0150880609289743
10,238,23040,-0.6616533459572662,205.8,1,0.11307164661586284,0.08649234600365162,0.6668591499328613,0.05002405494451523,80,0.0543256439268589,3e-05,0.2,0.014764482,3.15239764213562,-0.013523192815482617
23,107,25600,-0.6027713155219396,205.55,1,0.09485012808193763,0.014462975909312566,0.8725662231445312,0.05000023543834686,90,0.012200579047203064,3e-05,0.2,0.009174843,3.153040623664856,-0.01289014471306776
397,6,28160,-0.7582692466218093,204.22222222222223,1,0.10957031339406967,0.03703733239322901,0.7429004311561584,0.04998093843460083,100,0.0035803811624646187,3e-05,0.2,0.010709517,3.154014186859131,-0.014985564909875394
41,61,30720,-0.6943170005099877,203.58,1,0.08906608365476132,0.06599228568375111,0.7349543571472168,0.049979064613580704,110,0.026861663907766342,3e-05,0.2,0.009422034,3.154464030265808,-0.01342414773069322
39,65,33280,-0.7074361509796013,207.68,1,0.1289843749254942,0.04642701122909784,0.7842049598693848,0.04995530843734741,120,0.044065192341804504,3e-05,0.2,0.010745255,3.1547876262664794,-0.015715942392125724
38,66,35840,-0.7204987817407197,207.8,1,0.09240385553566739,0.02996132862754166,0.7836335897445679,0.04996263608336449,130,0.022191274911165237,3e-05,0.2,0.009761882,3.155366325378418,-0.014193435793276876
