rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100
77,388413,5827,394240,64,641,3850,770,1261.889962700021,307.8025909398047,-440.72977429413555
78,393445,5915,399360,66,660,3900,780,1280.634990999999,307.2264952660506,-465.2177113453152
79,398511,5969,404480,66,661,3950,790,1299.2608823999763,306.72131009122364,-457.4796769893816
80,403455,6145,409600,68,680,4000,800,1317.7653835000237,306.166033082772,-459.9769182245714
81,408389,6331,414720,68,681,4050,810,1331.9028638000018,306.6207086865485,-460.2915496304457
82,413253,6587,419840,68,681,4100,820,1348.6877076000092,306.4111859782455,-460.2915496304457
83,418365,6595,424960,70,700,4150,830,1367.3358738999814,305.97090882046353,-447.0875053635692
84,423485,6595,430080,70,700,4200,840,1392.4225557000027,304.1354065017314,-447.0875053635692
85,428605,6595,435200,72,720,4250,850,1411.8820676999749,303.56997217070585,-441.18496413597745
86,433725,6595,440320,72,720,4300,860,1433.4853653999744,302.56674429248955,-441.18496413597745
87,438845,6595,445440,74,740,4350,870,1453.6343863999937,301.89503227618604,-474.23895761917714
88,443965,6595,450560,74,740,4400,880,1474.181508300011,301.1603371093491,-474.23895761917714
89,449085,6595,455680,74,740,4450,890,1495.139766599983,300.3632235809232,-474.23895761917714
90,454205,6595,460800,76,760,4500,900,1517.329419400019,299.34501644316714,-464.91150217462257
91,459325,6595,465920,76,760,4550,910,1536.9696424999856,298.8510555438666,-464.91150217462257
92,464445,6595,471040,78,780,4600,920,1557.3325289000059,298.2311043923628,-500.5295075552904
93,469565,6595,476160,78,780,4650,930,1577.8598683999735,297.596136009316,-500.5295075552904
94,474685,6595,481280,80,800,4700,940,1596.9907682000194,297.2371596956826,-491.25792601012114
95,479657,6743,486400,80,801,4750,950,1614.9689164999872,297.0069548084728,-482.8263961958001
96,484521,6999,491520,80,801,4800,960,1633.969891500019,296.529943740395,-482.8263961958001
97,489617,7023,496640,82,820,4850,970,1653.1637997999787,296.1696838868842,-499.0246695440312
98,494737,7023,501760,82,820,4900,980,1674.0339743000222,295.53581802715115,-499.0246695440312
99,499857,7023,506880,84,840,4950,990,1695.3652774000075,294.83734665521456,-495.25514778988224
100,504728,7272,512000,84,841,5000,1000,1720.8888598000049,293.2949429742125,-488.3799748191992
101,509648,7472,517120,86,860,5050,1010,1742.9481914999778,292.40570803277745,-484.30472581915456
102,514768,7472,522240,86,860,5100,1020,1763.3108365000226,291.9326470095072,-484.30472581915456
103,519888,7472,527360,86,860,5150,1030,1784.13755330001,291.39457271015624,-484.30472581915456
104,525008,7472,532480,88,880,5200,1040,1803.6840933000203,291.0753617832519,-444.5813959004995
105,530128,7472,537600,88,880,5250,1050,1824.6201147999964,290.5415739418774,-444.5813959004995
106,535248,7472,542720,90,900,5300,1060,1845.4772572999937,290.0322926672578,-476.52603787612645
107,540127,7713,547840,90,901,5350,1070,1866.064855100005,289.44706746060757,-476.70532494120874
108,545039,7921,552960,92,920,5400,1080,1885.4104406000115,289.0824131781869,-497.0042692809974
109,550159,7921,558080,92,920,5450,1090,1903.4773692999734,289.02839028883625,-497.0042692809974
110,555279,7921,563200,92,920,5500,1100,1922.7607543999911,288.7925597239882,-497.0042692809974
111,560399,7921,568320,94,940,5550,1110,1947.5755159999826,287.7418592481448,-468.53088460903047
112,565519,7921,573440,94,940,5600,1120,1966.971319400007,287.50749663828475,-468.53088460903047
113,570639,7921,578560,96,960,5650,1130,1987.9177393999998,287.05362837208355,-447.67194738483704
114,575759,7921,583680,96,960,5700,1140,2008.5548630999983,286.65335987455927,-447.67194738483704
115,580879,7921,588800,98,980,5750,1150,2028.6466365000233,286.3381870201786,-463.1266214829954
116,585703,8217,593920,98,982,5800,1160,2046.9048236000235,286.14080793941673,-455.497284249878
117,590311,8729,599040,98,982,5850,1170,2064.8184840999893,285.8900211062882,-455.497284249878
118,595274,8886,604160,100,1001,5900,1180,2083.344712899998,285.7299592881025,-455.51994862404024
119,600138,9142,609280,100,1001,5950,1190,2102.505402199982,285.43945683660945,-455.51994862404024
120,605122,9278,614400,102,1020,6000,1200,2125.5226380999666,284.6932745637218,-442.09343634754396
121,610242,9278,619520,102,1020,6050,1210,2146.3077846000087,284.32175682283435,-442.09343634754396
122,615270,9370,624640,104,1040,6100,1220,2168.465781499981,283.73516670131755,-522.6806177812225
123,620307,9453,629760,104,1041,6150,1230,2186.992787199968,283.634680292744,-523.2870445529722
124,625133,9747,634880,104,1042,6200,1240,2204.012512199988,283.63405222958943,-520.3189969796823
125,630106,9894,640000,106,1062,6250,1250,2224.7864857999957,283.22088614873286,-577.3661547521997
126,634714,10406,645120,106,1062,6300,1260,2242.482554199989,283.04077497112826,-577.3661547521997
127,639546,10694,650240,108,1080,6350,1270,2255.7674272999866,283.51592999349975,-577.6134445642734
128,644666,10694,655360,108,1080,6400,1280,2270.7158491999726,283.90430278941824,-577.6134445642734
129,649786,10694,660480,110,1100,6450,1290,2290.146899399988,283.7311441332615,-676.0131410551271
130,654771,10829,665600,110,1101,6500,1300,2306.486871699977,283.8823875539367,-674.8688916711606
131,659635,11085,670720,110,1101,6550,1310,2318.3613249000045,284.52639927835725,-674.8688916711606
132,664691,11149,675840,112,1120,6600,1320,2331.561006599979,285.0841123686881,-657.455320742656
133,669561,11399,680960,112,1121,6650,1330,2347.1497739999904,285.2655622648829,-658.081277640937
134,674529,11551,686080,114,1140,6700,1340,2366.423947400006,285.04148664532664,-578.226482524135
135,679495,11705,691200,114,1141,6750,1350,2388.053008000017,284.53932878528263,-576.3056706604359
136,684375,11945,696320,116,1160,6800,1360,2408.485046099988,284.1516500624303,-513.8871070017904
137,689240,12200,701440,116,1163,6850,1370,2428.0931664999807,283.8606069607772,-512.8860208956751
138,693592,12968,706560,116,1163,6900,1380,2446.204589299974,283.53801764327653,-512.8860208956751
139,698444,13236,711680,118,1181,6950,1390,2466.450702000002,283.1777661048096,-471.80907183703226
140,703114,13686,716800,118,1182,7000,1400,2485.07984999998,282.9341680912207,-469.9804001701133
141,707914,14006,721920,120,1200,7050,1410,2503.9124298000243,282.72314621503665,-421.34058948166137
142,713030,14010,727040,120,1201,7100,1420,2523.5547586000175,282.54984266541726,-421.95412083332127
143,717902,14258,732160,122,1220,7150,1430,2543.9761876999983,282.1968238032343,-458.1213355157259
144,722643,14637,737280,122,1223,7200,1440,2567.1850983999902,281.49236315308565,-444.3495852620427
145,726995,15405,742400,122,1223,7250,1450,2583.9578821000177,281.3494000951599,-444.3495852620427
146,731875,15645,747520,124,1240,7300,1460,2602.392215800006,281.23162817523763,-452.8509082164191
147,736995,15645,752640,124,1240,7350,1470,2623.6257425000076,280.9070623379881,-452.8509082164191
148,742115,15645,757760,126,1260,7400,1480,2643.69832700002,280.710923943477,-469.71291662442485
149,747235,15645,762880,126,1260,7450,1490,2661.814337800024,280.723936823327,-469.71291662442485
150,752355,15645,768000,128,1280,7500,1500,2681.9388907999964,280.52652600730204,-470.52898685422485
151,757475,15645,773120,128,1280,7550,1510,2702.7890337000135,280.2567979059194,-470.52898685422485
152,762595,15645,778240,128,1280,7600,1520,2723.9768852000125,279.9564872019849,-470.52898685422485
153,767690,15670,783360,130,1301,7650,1530,2744.0634789000032,279.7639361855213,-394.0152072647257
154,772554,15926,788480,130,1301,7700,1540,2763.3285857000155,279.5737010784384,-394.0152072647257
155,777498,16102,793600,132,1320,7750,1550,2781.1835892000236,279.5565179584706,-390.07593639607325
156,782538,16182,798720,132,1321,7800,1560,2801.7706023000064,279.3012387800791,-390.5408188223488
157,787402,16438,803840,132,1321,7850,1570,2817.799009200011,279.43866735319347,-390.5408188223488
158,792456,16504,808960,134,1341,7900,1580,2831.6901756000007,279.8526501339746,-401.6526045689545
159,797320,16760,814080,134,1341,7950,1590,2847.170317400014,280.0394465786995,-401.6526045689545
160,802344,16856,819200,136,1360,8000,1600,2863.8417506999685,280.16352502853704,-422.5137889328104
161,807464,16856,824320,136,1360,8050,1610,2878.780597199977,280.4882042019366,-422.5137889328104
162,812584,16856,829440,138,1380,8100,1620,2897.7836727999966,280.4156872120261,-466.5446560777793
163,817704,16856,834560,138,1380,8150,1630,2910.810005999985,280.91974340973326,-466.5446560777793
164,822824,16856,839680,138,1380,8200,1640,2923.888061899983,281.4143300223736,-466.5446560777793
165,827944,16856,844800,140,1400,8250,1650,2938.5891012999928,281.7488159993953,-487.4747080914456
166,833064,16856,849920,140,1400,8300,1660,2958.0685776000028,281.62430252915146,-487.4747080914456
167,838184,16856,855040,142,1420,8350,1670,2978.190689500014,281.44067569451585,-455.5515892297094
168,843051,17109,860160,142,1421,8400,1680,2995.9445733000175,281.39739550367705,-455.64220382085705
169,847979,17301,865280,144,1440,8450,1690,3014.5616469000233,281.29429725612204,-435.4332901748712
170,853018,17382,870400,144,1441,8500,1700,3034.688361699984,281.08915919200115,-436.19352081934346
171,857630,17890,875520,144,1442,8550,1710,3052.7730099000037,280.93474268107883,-434.152895756359
172,862512,18128,880640,146,1462,8600,1720,3073.8968829999794,280.5923662469213,-406.76316796069324
173,866779,18981,885760,146,1464,8650,1730,3096.119221300003,279.9565966442518,-397.1808723551884
174,871451,19429,890880,148,1480,8700,1740,3118.2188869999954,279.47075929567393,-375.2499587021045
175,876337,19663,896000,148,1481,8750,1750,3137.37178809999,279.3220119221874,-360.72827078716017
176,881257,19863,901120,150,1500,8800,1760,3155.6246788999997,279.2654671173354,-367.15531055721476
177,886362,19878,906240,150,1501,8850,1770,3174.7800004999735,279.188479157741,-366.1826866372492
178,891226,20134,911360,150,1501,8900,1780,3194.360663899977,278.99980427128946,-366.1826866372492
179,896314,20166,916480,152,1520,8950,1790,3215.355335899978,278.76048099334616,-388.76238790752853
180,901277,20323,921600,152,1522,9000,1800,3238.4973992999876,278.3009800146247,-385.82021680347185
181,906157,20563,926720,154,1540,9050,1810,3256.097130000009,278.29544507475964,-377.6207092302561
182,911042,20798,931840,154,1541,9100,1820,3274.4578235999797,278.22682382220734,-374.8813282024472
183,915679,21281,936960,156,1560,9150,1830,3292.3306634000037,278.12485853239735,-342.5496391297991
184,920616,21464,942080,156,1562,9200,1840,3313.6463893000036,277.8256614745416,-343.7967229038116
185,925224,21976,947200,156,1562,9250,1850,3333.5968073999975,277.54526220632494,-343.7967229038116
186,930264,22056,952320,158,1580,9300,1860,3355.930560000008,277.20001453188524,-329.2664329834845
187,935384,22056,957440,158,1580,9350,1870,3376.6314970999956,277.0169030299428,-329.2664329834845
188,940504,22056,962560,160,1600,9400,1880,3399.277716199984,276.677599925957,-368.9410762930601
189,945624,22056,967680,160,1600,9450,1890,3418.142990399967,276.64846165179,-368.9410762930601
190,950744,22056,972800,162,1620,9500,1900,3437.3794176999945,276.58977507817804,-352.91226501172673
191,955833,22087,977920,162,1621,9550,1910,3457.0648096000077,276.48686172898005,-354.0611918400527
192,960043,22997,983040,162,1624,9600,1920,3474.4883925999748,276.3120469893398,-352.3646048617495
193,964971,23189,988160,164,1640,9650,1930,3494.7174570999923,276.122751508718,-351.69649888574
194,970091,23189,993280,164,1640,9700,1940,3519.976142600004,275.5959019891111,-351.69649888574
195,975211,23189,998400,166,1660,9750,1950,3540.399621699995,275.45223822268196,-390.6316432075398
196,980331,23189,1003520,166,1660,9800,1960,3561.994896600023,275.2196531600145,-390.6316432075398
197,985451,23189,1008640,168,1680,9850,1970,3583.1427506000036,275.02420879965905,-394.7361424763118
198,990471,23289,1013760,168,1681,9900,1980,3602.812868500012,274.91602704649233,-385.7936477665087
199,995335,23545,1018880,168,1681,9950,1990,3619.3118972000084,275.0066941647158,-385.7936477665087
200,1000371,23629,1024000,170,1701,10000,2000,3639.42650880001,274.87050434488424,-332.2324529705845
