time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
11,5120,437,1,,,,,,,,,,,,,
11,10240,433,1,0.007735311985015869,-0.0067605462949723,0.03546875,0.6105102896690369,0.0003,0.2,215.11132080078124,-1.8451636123657227,99.7379379272461,10,0.004580725,,
12,15360,420,1,0.11698323488235474,-0.003800362916663289,0.019453125,0.6110503673553467,0.0003,0.2,222.70432220458986,-1.8522936177253724,99.94529724121094,20,0.0054236106,-303.959802572717,600.0
11,20480,438,1,-0.07645821571350098,-0.0007528344029560685,5.859375e-05,0.6117801070213318,0.0003,0.2,704.6806274414063,-1.8535743618011475,318.330810546875,30,0.00074523984,-305.2538774206137,588.6666666666666
11,25600,435,1,0.025325298309326172,-0.001713984593989153,0.004872661144472659,0.6122652292251587,0.0003,0.2,688.3640405273437,-1.8561043095588685,317.0572509765625,40,0.0037608915,-466.28573695490365,594.05
12,30720,423,1,0.12678515911102295,-0.0024836047089775094,0.01391656842082739,0.6128010153770447,0.0003,0.2,357.71898559570315,-1.8575283002853393,149.43106079101562,50,0.0034016897,-466.28573695490365,594.05
12,35840,417,1,-0.0005549192428588867,-0.0017036030953750014,0.00640625,0.6129695177078247,0.0003,0.2,764.8346875,-1.8588182640075683,380.3895263671875,60,0.004486871,-466.28573695490365,594.05
11,40960,426,1,0.005513966083526611,-0.002905263453722,0.01689453125,0.6117992997169495,0.0003,0.2,57.57949867248535,-1.857614643573761,16.30844497680664,70,0.0036637424,-478.7007663784864,596.0333333333333
11,46080,438,1,0.00027549266815185547,-0.00245485958410427,0.0016015625,0.6119474172592163,0.0003,0.2,717.07052734375,-1.8547023105621339,369.5992736816406,80,0.0020693087,-474.21382195036114,591.7704918032787
11,51200,429,1,0.29203182458877563,-0.004073621920397273,0.04820622798986733,0.6128032207489014,0.0003,0.2,262.2120172119141,-1.857040162086487,122.88636779785156,90,0.005071885,-466.75735636154275,593.725
11,56320,431,1,0.1529090404510498,-0.0041725733742350715,0.03527209043968469,0.6189582943916321,0.0003,0.2,263.8205883789062,-1.8652491497993469,122.0782699584961,100,0.007934203,-466.75735636154275,593.725
12,61440,419,1,0.0013197064399719238,0.0014973153895698487,0.173828125,0.6212122440338135,0.0003,0.2,249.3109265136719,-1.8838745713233949,120.09557342529297,110,0.0033750907,-458.6758281229049,594.98
12,66560,398,1,4.0531158447265625e-05,-0.00411849170923233,0.01203125,0.6216868758201599,0.0003,0.2,192.70571990966798,-1.8872796368598939,106.35595703125,120,0.0033643157,-458.6758281229049,594.98
14,71680,353,1,0.001278221607208252,0.0005072239506989717,0.13228515625,0.6227253079414368,0.0003,0.2,136.3568002319336,-1.8884928679466249,55.71300506591797,130,0.0031833567,-453.80459585552194,592.35
14,76800,349,1,0.8725076913833618,-0.003882470232056221,0.014250975367613137,0.623347282409668,0.0003,0.2,51.27034454345703,-1.8920852637290955,9.339702606201172,140,0.0051587154,-465.7302429268817,592.35
19,81920,267,1,0.04781454801559448,-0.0020248204366362186,0.06355065726209431,0.6246490478515625,0.0003,0.2,292.840771484375,-1.8942810106277466,142.32449340820312,150,0.009463733,-465.7302429268817,592.35
15,87040,322,1,0.002900063991546631,0.0008517608465626836,0.05302734375,0.6256832480430603,0.0003,0.2,35.983389930725096,-1.8983376121520996,11.186582565307617,160,0.0025991944,-409.08224919996763,594.73
10,92160,467,1,-0.0003502368927001953,-0.0029682005825452506,0.02259765625,0.6263870000839233,0.0003,0.2,237.63504028320312,-1.901473639011383,103.42607879638672,170,0.0046434524,-405.06663481657347,590.82
11,97280,458,1,0.7880085706710815,-0.0003928609448485076,0.040198887288570406,0.62632155418396,0.0003,0.2,61.541692390441895,-1.9010144925117494,23.147920608520508,180,0.0035319314,-371.0309057109222,590.82
12,102400,418,1,0.4109540581703186,-0.00426485046336893,0.04786057699937373,0.6258879899978638,0.0003,0.2,285.4401657104492,-1.9021261167526244,119.22624206542969,190,0.006188069,-371.0309057109222,590.82
12,107520,411,1,0.031389594078063965,-0.0028551951749250294,0.016640625,0.6266516447067261,0.0003,0.2,115.69917434692383,-1.901375641822815,58.36814498901367,200,0.0046370756,-371.0309057109222,590.82
13,112640,372,1,0.03406292200088501,-0.0006818214897066355,0.00033203125,0.6270747184753418,0.0003,0.2,250.87505035400392,-1.9036520838737487,126.14693450927734,210,0.0017100412,-359.6997546651239,593.46
13,117760,387,1,-0.020214438438415527,-0.0030873094219714403,0.0098046875,0.6282401084899902,0.0003,0.2,301.10674926757815,-1.9062466859817504,89.59339904785156,220,0.0033128548,-359.6997546651239,593.46
13,122880,385,1,0.5676773190498352,-0.0070708413096144795,0.06634765625,0.6289366483688354,0.0003,0.2,43.543627433776855,-1.9089122462272643,19.647350311279297,230,0.009088481,-340.92946837944305,593.46
13,128000,393,1,0.6181210279464722,-0.0023225497524254025,0.00943359375,0.6288646459579468,0.0003,0.2,144.35678451538087,-1.9102786993980407,66.71985626220703,240,0.0027107378,-337.181079589307,583.98
13,133120,392,1,0.7688619494438171,-0.002700174549681833,0.01903436176944524,0.6284524202346802,0.0003,0.2,159.31243270874023,-1.9092703986167907,82.25337219238281,250,0.0031407736,-333.8100421025772,583.98
16,138240,311,1,0.7788504362106323,-0.0016960301392828115,0.0006883844360709191,0.6285148859024048,0.0003,0.2,128.93625915527343,-1.9087372827529907,45.583030700683594,260,0.00155785,-333.8100421025772,583.98
12,143360,409,1,0.09264034032821655,-0.003662423514761031,0.02123046875,0.6292300224304199,0.0003,0.2,77.42600036621094,-1.9097335386276244,25.45747184753418,270,0.0041360226,-333.8100421025772,583.98
11,148480,426,1,0.7630841732025146,-0.0034008041536435483,0.0198828125,0.6300644278526306,0.0003,0.2,13.669305515289306,-1.9126536464691162,3.4457576274871826,280,0.0036941196,-331.6716354740399,583.39
11,153600,431,1,0.18355822563171387,-0.002918653878150508,0.02168236017227173,0.6312400102615356,0.0003,0.2,845.5332800292969,-1.9147218561172485,374.2296447753906,290,0.0042052353,-331.6716354740399,583.39
12,158720,419,1,0.3009034991264343,-0.001417273473343812,0.007115885398816317,0.6319096088409424,0.0003,0.2,1204.4683776855468,-1.9188267946243287,607.364501953125,300,0.0042723953,-417.13775443409196,583.39
11,163840,444,1,0.11571550369262695,-0.0018587794413906522,0.01045457685366273,0.6324054002761841,0.0003,0.2,2046.5143408203126,-1.9203753781318664,1073.5799560546875,310,0.0034326743,-410.6262186404048,574.78
13,168960,393,1,0.7210797071456909,-0.0011241471688845195,0.012090450942050666,0.6321628093719482,0.0003,0.2,260.7618359375,-1.9209402632713317,112.9654769897461,320,0.0041957875,-413.7710107188408,574.78
14,174080,346,1,0.592858076095581,-0.0007267853153462056,3.289473708719015e-05,0.632238507270813,0.0003,0.2,459.3107080078125,-1.9204860615730286,223.4329833984375,330,0.0006672896,-413.7710107188408,574.78
15,179200,338,1,0.22884875535964966,-0.000966580924578011,0.00333984375,0.6324403285980225,0.0003,0.2,978.8335229492187,-1.9209174633026123,422.3536071777344,340,0.0029546812,-413.7710107188408,574.78
14,184320,342,1,0.33806121349334717,-0.002087359230499715,0.01564453125,0.6334283947944641,0.0003,0.2,519.4279901123047,-1.922343032360077,233.31121826171875,350,0.0031344623,-462.285640124955,574.78
15,189440,338,1,0.18022722005844116,-0.0020605184929445384,0.00421875,0.6341304779052734,0.0003,0.2,277.8876873779297,-1.9257110738754273,80.3669662475586,360,0.0026378422,-462.285640124955,574.78
15,194560,324,1,0.6438005566596985,-0.002649949281476438,0.02775390625,0.633695125579834,0.0003,0.2,132.1268634033203,-1.9263192081451417,47.295475006103516,370,0.0039061275,-474.50369598780094,586.89
11,199680,446,1,0.7939842343330383,-0.00409693758469075,0.025625,0.6340224742889404,0.0003,0.2,224.05719451904298,-1.9254123020172118,95.29841613769531,380,0.0040833987,-474.50369598780094,586.89
12,204800,414,1,0.34934818744659424,-0.0009453765128273517,0.00029296875,0.6341754198074341,0.0003,0.2,851.6498889160156,-1.9266229820251466,435.9496765136719,390,0.0014487837,-551.9713271280511,586.89
