rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/std,train/loss,train/clip_range,train/value_loss,train/clip_fraction
176.05,29,0.37370223552145526,5120,173,1,,,,,,,,,,,
174.73529411764707,21,0.37373125224901704,10240,232,1,0.0003,0.015887782,10,-0.004334833020111546,0.5203222036361694,3.1523862361907957,0.049988698214292526,0.05312645062804222,0.2,0.024318021293729543,0.21799287796020508
203.675,22,0.37331566654381304,15360,223,1,0.0003,0.009702897,20,-0.011097991267160979,0.8012339472770691,3.1517746686935424,0.05011890083551407,0.019623003900051117,0.2,0.011771905631758273,0.13913458557799457
215.8,32,0.37310799355888735,20480,155,1,0.0003,0.00895424,30,-0.010874999855877832,0.7893288731575012,3.145632326602936,0.050273217260837555,0.019326679408550262,0.2,0.008191049902234227,0.113152876496315
254.81159420289856,24,0.356220295471531,25600,213,1,0.0003,0.011953142,40,-0.010701257770415395,0.8809342384338379,3.1409917175769806,0.05034783482551575,0.008424167521297932,0.2,0.005556852120207623,0.12127501918002963
237.7159090909091,31,0.36001254203315425,30720,161,1,0.0003,0.009867365,50,-0.011306218543904834,0.8370332717895508,3.1439818859100344,0.050087712705135345,0.008954079821705818,0.2,0.0044564900919795035,0.12734992764890193
233.45454545454547,20,0.36150671846669247,35840,248,1,0.0003,0.012166484,60,-0.008728054206585512,0.7320415377616882,3.15475999712944,0.04988184571266174,0.013434793800115585,0.2,0.004295942926546559,0.12297410648316145
240.44,34,0.3577773389645623,40960,147,1,0.0003,0.0129282335,70,-0.014938970218645408,0.8951027393341064,3.1588778734207152,0.04984749108552933,0.008761275559663773,0.2,0.0044887014548294244,0.1287042071518954
243.23,20,0.3577547881699417,46080,248,1,0.0003,0.012405086,80,-0.012884427218523342,0.7847774624824524,3.1578254878520964,0.049927812069654465,0.012875798158347607,0.2,0.004151497199200094,0.13730536852963268
232.62,46,0.3578875462495691,51200,109,1,0.0003,0.015541638,90,-0.013258762774057686,0.9304520487785339,3.157781457901001,0.04982311278581619,0.013883465901017189,0.2,0.003829301008954644,0.14752234807237982
