time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss
640,1,5,125,,,,,,,,,,,
1280,1,4,135,0.2,0.36328125,0.0003,3.1535873413085938,0.6072261333465576,0.07119796,0.22214671969413757,0.05000002682209015,1,0.050176418386399746,0.10787949152290821
