train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,time/fps,time/total_timesteps,train/ent_coef_loss,train/n_updates,time/episodes,train/ent_coef
173.36572647094727,0.0003,20,99.58358669281006,128,117580,-0.8560693822801113,12028,680,0.0648885415866971
130.47941970825195,0.0003,66,110.77003002166748,116,122760,3.1038249135017395,14100,720,0.060210891999304295
206.4843864440918,0.0003,118,122.6320629119873,109,128000,-0.36847551818937063,16196,760,0.05645962618291378
160.95153045654297,0.0003,190,129.76758766174316,99,133940,-0.5239880960434675,18572,800,0.05681301187723875
163.11287879943848,0.0003,309,135.47878456115723,86,141700,2.370211660861969,21676,840,0.05712236184626818
143.90612983703613,0.0003,385,127.35060119628906,81,146300,0.0588268106803298,23516,880,0.05576272029429674
130.32921504974365,0.0003,472,136.7603244781494,79,152440,-0.11340106930583715,25972,920,0.05929761752486229
124.49415683746338,0.0003,542,134.0833511352539,80,158760,-0.6400364972651005,28500,960,0.05105872172862291
131.43041515350342,0.0003,665,134.69760704040527,79,167620,-0.7986883334815502,32044,1000,0.05903805838897824
162.85596561431885,0.0003,715,133.4012680053711,82,174000,-0.5099793020635843,34596,1040,0.05910061625763774
129.80555725097656,0.0003,765,132.7000207901001,84,179760,0.4462167229503393,36900,1080,0.061405749060213566
148.25784492492676,0.0003,831,131.32954025268555,85,185800,-0.9650554396212101,39316,1120,0.0557934851385653
