time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate,train/loss
160,1,31,-1.1933689630781614,159.65,5120,,,,,,,,,,,
256,1,19,-1.0410850209154678,164.5,10240,1,0.05001489818096161,3.153289794921875,0.02417189022526145,0.743522584438324,0.26171875,0.2,-0.6012073755264282,0.024454588,0.0003,0.735807478427887
243,1,21,-0.9722510849475309,162.57142857142858,15360,11,0.050075627863407135,3.1512305545806885,-0.005133021385408938,0.16272744975984096,0.16783560007810594,0.2,0.17661935091018677,0.010256328,0.0003,0.04405809938907623
237,1,21,-0.8866605136605211,164.23232323232324,20480,21,0.05002133548259735,3.1517707014083864,-0.009327340208692476,0.04662757847458124,0.1739417614042759,0.2,0.4923704266548157,0.01982882,0.0003,0.02665557712316513
277,1,18,-0.7782921560743371,165.0,25600,31,0.04995100945234299,3.153589868545532,-0.00847687838413549,0.037308275885879996,0.1698577924631536,0.2,0.526079535484314,0.014021704,0.0003,0.01805049180984497
262,1,19,-0.6966337642231831,162.67,30720,41,0.04987367242574692,3.1577527570724486,-0.011161072383401915,0.024235724359750747,0.15742365077137946,0.2,0.5981663465499878,0.011035892,0.0003,0.023705359548330307
259,1,19,-0.7255231414744379,165.02,35840,51,0.05002254247665405,3.156427903175354,-0.007248739004135132,0.03771765105426311,0.1239045911282301,0.2,0.5912967324256897,0.011264433,0.0003,0.021685052663087845
298,1,17,-0.6540291867762262,165.68,40960,61,0.04992660880088806,3.154127278327942,-0.010702342689037324,0.024727597571909427,0.15974064275622368,0.2,0.6835126876831055,0.012123632,0.0003,0.021580632776021957
234,1,21,-0.683303290979508,169.58,46080,71,0.04982949048280716,3.159075255393982,-0.009038222818635405,0.014530109642073512,0.16795823372900487,0.2,0.63995760679245,0.014849934,0.0003,0.03801586106419563
219,1,23,-0.7247888203695849,170.88,51200,81,0.050033602863550186,3.1571515417099,-0.009305247697047889,0.02727738328278065,0.1354294741153717,0.2,0.5623893737792969,0.0114386715,0.0003,0.02942681685090065
202,1,25,-0.6164513031303602,171.97,56320,91,0.049888428300619125,3.1553668546676636,-0.008495596279390156,0.02053159451112151,0.16565686665475368,0.2,0.5573544502258301,0.009964515,0.0003,0.04592212662100792
180,1,28,-0.9440445135731816,175.23,61440,101,0.04944908618927002,3.16739305973053,-0.011711422754451632,0.015112590864300729,0.1370872400701046,0.2,0.7912601232528687,0.01272841,0.0003,0.03172320872545242
198,1,25,-1.0414715048850973,173.16,66560,111,0.04939178749918938,3.1777241897583006,-0.00824818473542109,0.053213278129696846,0.14046889945864677,0.2,0.5561151504516602,0.0125604365,0.0003,0.03614478185772896
300,1,17,-1.076275130095026,172.69,71680,121,0.04938706383109093,3.1787266969680785,-0.009321458463091403,0.032852437999099496,0.14388687945902348,0.2,0.4156249165534973,0.011286989,0.0003,0.02726512774825096
236,1,21,-1.1013743763850883,172.54,76800,131,0.049925919622182846,3.1689048588275908,-0.011090496578253806,0.02791117571759969,0.12263299385085702,0.2,0.538662850856781,0.011974509,0.0003,0.01822558604180813
221,1,23,-0.8062428677999072,167.76,81920,141,0.05000089854001999,3.1542622089385985,-0.015413823541894089,0.015590204251930117,0.1562619091011584,0.2,0.7907651662826538,0.012919839,0.0003,0.014967208728194237
185,1,27,-0.7233319644990552,166.51,87040,151,0.050115302205085754,3.152774591445923,-0.010906459190882742,0.01868094561621547,0.1625520844757557,0.2,0.5732580423355103,0.01574919,0.0003,0.0005929772742092609
181,1,28,-0.5927526189917078,165.5,92160,152,0.050129055976867676,3.1492584228515623,0.0047345410101115705,0.042226772755384445,0.18406250476837158,0.2,0.5904726982116699,0.018960077,0.0003,0.0525624081492424
222,1,23,-0.7523402525754402,165.34,97280,162,0.05011597275733948,3.148708498477936,-0.013689233979675919,0.016996407089754938,0.1473140638321638,0.2,0.48248547315597534,0.012531022,0.0003,0.016750797629356384
207,1,24,-0.8048866769188673,165.93,102400,172,0.050377774983644485,3.1450982189178465,-0.00830175566719845,0.028228974733501673,0.15323271870613098,0.2,0.5182279348373413,0.017384702,0.0003,0.02119819074869156
230,1,22,-0.9320535990463149,167.25,107520,182,0.05056988075375557,3.1344211721420288,-0.013229039781726896,0.021624835096299647,0.17616578221321105,0.2,0.6554238200187683,0.01476689,0.0003,0.03337894380092621
205,1,24,-0.9697503606877979,168.96,112640,192,0.050761573016643524,3.1282602548599243,-0.0009996164951007814,0.0199088803678751,0.19855389073491098,0.2,0.7160909175872803,0.029104402,0.0003,0.03580472245812416
250,1,20,-1.0401013520459954,169.27,117760,202,0.05085273087024689,3.121230430603027,-0.010910664647817613,0.02433949114754796,0.19336280971765518,0.2,0.6775495409965515,0.023770267,0.0003,0.012616350315511227
202,1,25,-0.9500671870766146,169.97,122880,212,0.05095648765563965,3.1179600059986115,-0.010870152339339256,0.024233149201609194,0.14056729357689618,0.2,0.5248775482177734,0.010671355,0.0003,0.02512933313846588
277,1,18,-0.9292116494229836,172.42,128000,222,0.05121462792158127,3.1110867166519167,-0.009385599717497826,0.019844726342707873,0.1464804120361805,0.2,0.7253662347793579,0.012481862,0.0003,0.022304363548755646
294,1,17,-0.8998939592216036,173.05,133120,232,0.05119439214468002,3.1054800510406495,-0.01081152927945368,0.025755099789239465,0.1307192688807845,0.2,0.6446661353111267,0.009968046,0.0003,0.02291804924607277
283,1,18,-0.6976284890955863,174.22,138240,242,0.05118756741285324,3.1069523191452024,-0.011491292188875377,0.015704703442752363,0.15161382615566255,0.2,0.765806257724762,0.014474903,0.0003,0.010669134557247162
251,1,20,-0.605388308946969,173.31,143360,252,0.0512368343770504,3.1057030856609344,-0.013284720294177533,0.013407235802151262,0.14708105176687242,0.2,0.7887475490570068,0.014040925,0.0003,0.013585553504526615
243,1,20,-0.512153555088827,173.2,148480,262,0.051255546510219574,3.1044561743736265,-0.010369640184217132,0.025403197575360536,0.16933734565973282,0.2,0.5877570509910583,0.011990245,0.0003,0.013317456468939781
282,1,18,-0.48722541001631287,175.34,153600,272,0.051190197467803955,3.1045692920684815,-0.011298941349377856,0.01456104782409966,0.1529396366328001,0.2,0.8176836371421814,0.014071861,0.0003,0.01597229763865471
277,1,18,-0.6001993800873808,173.15,158720,282,0.05159742757678032,3.099281053543091,-0.01162864888086915,0.021966830547899007,0.14251848962157965,0.2,0.7851386070251465,0.013275285,0.0003,0.01214662753045559
292,1,17,-0.8322129374838885,177.25,163840,292,0.051929935812950134,3.083675684928894,-0.009647888145991601,0.020005958173424005,0.15189649567008018,0.2,0.8237035274505615,0.011771819,0.0003,0.02825406938791275
225,1,22,-0.7230636535212777,175.13,168960,302,0.051887594163417816,3.078390210866928,-0.010759336198680103,0.024149025999940933,0.1288478434085846,0.2,0.7061308026313782,0.012489224,0.0003,0.024457726627588272
195,1,26,-0.800498621719895,175.65,174080,312,0.05193599313497543,3.0787393951416018,-0.012553068141569384,0.014264764543622733,0.15554053083062172,0.2,0.7382071018218994,0.013074547,0.0003,0.01677224412560463
176,1,29,-0.8072411102839804,173.99,179200,322,0.051890891045331955,3.0784895956516265,-0.01358663456630893,0.016323892353102564,0.1505091404542327,0.2,0.8174144625663757,0.015106331,0.0003,0.012673787772655487
192,1,26,-0.8970450924466405,172.37,184320,332,0.05214536935091019,3.0758651375770567,-0.012394850412965753,0.030894043995067476,0.14790253825485705,0.2,0.7039633393287659,0.013415825,0.0003,0.016344446688890457
