rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss
-0.3448422036229298,164.71428571428572,14,1,2560,173,,,,,,,,,,,
-0.37670287416448794,229.55555555555554,9,1,5120,273,0.0003,0.2,0.310847707092762,-0.00019006617367267609,0.010009546764194965,3,2.4225741624832153,0.04274213,-0.03530540987849236,0.684577226638794,0.09253847301006317
-0.4026205090098954,239.46153846153845,12,1,7680,211,0.0003,0.2,0.23687298111617566,-0.03732680156826973,0.010019559413194656,13,2.5513907074928284,0.028915199,-0.041258553054649386,0.8319318294525146,0.013230664446018637
-0.7044274969152542,219.5,14,1,10240,180,0.0003,0.2,0.25916031879537244,-0.01308463141322136,0.010001972317695618,18,2.467605674968046,0.048239447,-0.035466890343848395,0.8206377029418945,0.07379446748424978
-0.8637818756118922,217.09375,13,1,12800,193,0.0003,0.2,0.20342463793026078,-0.0149278175085783,0.009979132562875748,23,2.4477712710698447,0.04052525,-0.03716163101813032,0.8149046897888184,0.07949499723811944
-0.826466020089545,213.15384615384616,5,1,15360,474,0.0003,0.2,0.2898926825627037,-0.02833693102002144,0.009962542913854122,29,2.483371941939644,0.04174893,-0.03612045597527986,0.8910351991653442,0.046188686690900635
-0.8277346796836991,222.825,7,1,17920,354,0.0003,0.2,0.1790621168911457,-0.01178975123912096,0.009961407631635666,33,2.596163443156651,0.05218813,-0.028021071505333697,0.7202804684638977,0.0351248098803418
-0.7958231546101036,215.56,11,1,20480,227,0.0003,0.2,0.20856166879336038,-0.030601341277360916,0.00995721761137247,38,2.5181281566619873,0.056455355,-0.03393789559292296,0.9434365630149841,0.02981220268540912
-0.8002487917685863,214.23214285714286,10,1,23040,234,0.0003,0.2,0.28165641223842447,0.006657805293798447,0.009934347122907639,44,2.474760749123313,0.04228569,-0.037116588643667375,0.8789151906967163,0.05176795460283756
-0.8346829990015677,227.55,10,1,25600,236,0.0003,0.2,0.19907622987573798,-0.005649439059197903,0.009932732209563255,47,2.4852883599021216,0.035344757,-0.021118313836103134,0.9133043885231018,0.03323473341085694
-0.9269643749732582,226.11940298507463,8,1,28160,285,0.0003,0.2,0.23636819024880726,0.009015637449920177,0.009939746931195259,51,2.462581968307495,0.034777764,-0.02527593293537696,0.8982763886451721,0.04410568090776602
-1.1164375126748076,236.05714285714285,11,1,30720,229,0.0003,0.2,0.2549902267361942,-0.009573828428983688,0.009925726801156998,58,2.4931083729392602,0.045783684,-0.04836878920660207,0.6194786429405212,0.09111516079620312
-1.0817786332038353,235.575,10,1,33280,234,0.0003,0.2,0.322265625,-0.04749736189842224,0.00992018636316061,68,2.4493348791792586,0.045383103,-0.05166427102695043,0.7863265872001648,0.04602758088023276
-0.9946588916487049,230.88888888888889,8,1,35840,290,0.0003,0.2,0.1640019379556179,0.0321091003715992,0.009919448755681515,70,2.4456899563471475,0.039192792,-0.012588820032154521,0.8476330041885376,0.050801134978731476
-1.080645410881042,228.53535353535352,11,1,38400,221,0.0003,0.2,0.24927951395511627,0.025090310722589493,0.00991920754313469,72,2.461544704437256,0.053185984,-0.015072470158338546,0.5296105146408081,0.06457870528101921
-1.0700096194223447,230.38,14,1,40960,172,0.0003,0.2,0.2424815312812203,-0.0001915115863084793,0.009918849915266037,77,2.4523766166285466,0.040006448,-0.03226206576647727,0.7878382802009583,0.07628062308618896
-1.1033839619031847,228.51,8,1,43520,316,0.0003,0.2,0.24549910290674729,-0.02767374739050865,0.009924812242388725,82,2.459791291843761,0.04825817,-0.0392174714837562,0.8027206659317017,0.04212814391675321
-0.9816347496579219,229.72,13,1,46080,186,0.0003,0.2,0.2793007935755528,-0.0544385127723217,0.009914033114910126,89,2.505776497033926,0.046483543,-0.04695945605635643,0.5702756643295288,0.017671098574422874
-0.8367399907407339,226.39,17,1,48640,148,0.0003,0.2,0.283987205136906,-0.009857552126049995,0.009904186241328716,92,2.452512502670288,0.044186413,-0.03642184283076362,0.6556305885314941,0.03724385831843723
-0.822930364355327,231.93,13,1,51200,194,0.0003,0.2,0.21890388280153275,0.0036720987409353256,0.009898638352751732,94,2.4474124908447266,0.02688435,-0.025473647750914097,0.5051044225692749,0.040406209602952006
-0.8011369313761376,232.21,13,1,53760,185,0.0003,0.2,0.25874480876055633,-0.0016868868842720985,0.009894332848489285,97,2.459040403366089,0.034555692,-0.022730557904155416,0.7691931128501892,0.019543481990695
-0.8399758204959115,234.33,10,1,56320,241,0.0003,0.2,0.2663181618683868,-0.04764791578054428,0.009916669689118862,103,2.4500403139326306,0.042419806,-0.045684478607856564,0.7172266244888306,0.044564964870611824
-0.7860561868471712,228.62,13,1,58880,188,0.0003,0.2,0.2718191981315613,0.019264090806245804,0.009922832250595093,105,2.4988592624664308,0.046706486,-0.01907372511923313,0.49030619859695435,0.0486474234610796
-0.6745973459158798,222.72,14,1,61440,181,0.0003,0.2,0.31525662541389465,-0.0007896367460489273,0.009930172935128212,108,2.436716834704081,0.045172043,-0.03378895569282273,0.7967756986618042,0.052821713499724865
-0.529637174400582,214.69,14,1,64000,171,0.0003,0.2,0.21055984000364938,0.007917869836091995,0.009930279105901718,111,2.4315336810217962,0.05047509,-0.022399479523301125,0.8558007478713989,0.04477063649230533
-1.037344595451468,227.26,12,1,66560,211,0.0003,0.2,0.24591619318181818,0.015816226601600647,0.00993324350565672,114,2.3997049765153364,0.04749358,-0.021536381491883236,0.7629687786102295,0.10740134932778099
-1.12925478788602,223.34,14,1,69120,171,0.0003,0.2,0.22456203939186203,0.0048778727650642395,0.009934701956808567,119,2.4448947376675076,0.049174875,-0.02938149424476756,0.7323275208473206,0.09027001054750548
-1.1428353440964616,220.4,7,1,71680,330,0.0003,0.2,0.22310433479455802,0.011539166793227196,0.009930148720741272,122,2.4422396696530857,0.037283577,-0.028019163829202835,0.8849096298217773,0.0812031959111874
-1.1443732257524954,222.4,7,1,74240,337,0.0003,0.2,0.23806972987949848,0.07221722602844238,0.009928757324814796,124,2.503690481185913,0.03627625,-0.012579029658809304,0.8751678466796875,0.11215409077703953
