rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss
196.92307692307693,-2.1638044818238407,253,5120,20,1,,,,,,,,,,,
229.78571428571428,-1.5679453023447245,282,10240,18,1,0.0003,0.13072240576148034,0.3666796088218689,-0.008986962798517198,0.04185090586543083,0.0501050129532814,0.1751950651407242,0.2,0.010237904,10,3.1514887619018555
222.6304347826087,-1.1227205496567556,312,15360,16,1,0.0003,0.017751678172498942,0.6432952880859375,-0.011007857317463277,0.017200354486703873,0.05000467598438263,0.12544155977666377,0.2,0.011312975,20,3.1513265669345856
217.52380952380952,-1.001338533870199,226,20480,22,1,0.0003,0.021847458998672666,0.40160423517227173,-0.009986043785465882,0.025033939629793167,0.05014890432357788,0.12787973005324602,0.2,0.012101263,30,3.1514765858650207
215.0,-1.0179187441394846,217,25600,23,1,0.0003,0.03565208525396883,0.24912786483764648,-0.010392816935200245,0.026436857879161835,0.050149716436862946,0.11669437754899263,0.2,0.010525555,40,3.147290086746216
218.36666666666667,-1.2712907636138326,193,30720,26,1,0.0003,0.05836800541728735,0.16076600551605225,-0.009796448051929474,0.02174406684935093,0.05019691213965416,0.13880293642481167,0.2,0.010651774,50,3.14675243695577
211.05,-1.025330593524751,188,35840,27,1,0.0003,0.032213623511294524,0.6409580707550049,-0.011987666917654375,0.02895255759358406,0.0503343865275383,0.12312894289692243,0.2,0.013207701,60,3.1431858936945596
193.6,-0.8784090335644319,206,40960,24,1,0.0003,0.02645343658514321,0.5961928367614746,-0.012133818538859486,0.016926398500800133,0.050437651574611664,0.1478913649916649,0.2,0.011011025,70,3.1384363412857055
197.92,-0.8714647647807722,237,46080,21,1,0.0003,0.04108616202138364,0.6193643808364868,-0.007261946427752264,0.032195303589105606,0.05034620314836502,0.18369569536298513,0.2,0.01750797,80,3.138041377067566
193.64,-0.8165200395306335,268,51200,19,1,0.0003,0.021365469391457736,0.7094916105270386,-0.006258513175998815,0.03299589455127716,0.050266098231077194,0.17294634664431213,0.2,0.0107318,90,3.141120994091034
190.08,-0.5619726926417502,240,56320,21,1,0.0003,0.027471313904970884,0.33523422479629517,-0.007287389959674329,0.024617012590169907,0.05024222284555435,0.14210548549890517,0.2,0.010139217,100,3.1438247084617617
192.11,-0.4068926399481652,218,61440,23,1,0.0003,0.01693129863124341,0.664807140827179,-0.010306647943798453,0.016555821523070335,0.05049969255924225,0.13125194255262612,0.2,0.010630989,110,3.1396755933761598
198.36,-0.39878141207921947,293,66560,17,1,0.0003,0.019436859246343374,0.6782466769218445,-0.009417587236384861,0.026043348014354706,0.05072179064154625,0.1423242324963212,0.2,0.009862045,120,3.1286831855773927
197.38,-0.41367432233222956,267,71680,19,1,0.0003,0.025283642423649628,0.6430692672729492,-0.010139540575134257,0.018489431589841843,0.05078548565506935,0.17116399096945922,0.2,0.014574428,130,3.123892664909363
191.96,-0.47119294516608184,232,76800,22,1,0.0003,0.035313326958566905,0.5554057359695435,-0.009593543212395162,0.02333097718656063,0.0510144904255867,0.11300984779372811,0.2,0.012169949,140,3.118175911903381
200.29,-0.5261740245097362,207,81920,24,1,0.0003,0.020776345673948527,0.6457869410514832,-0.010421577672241255,0.017524104565382004,0.05113883689045906,0.16487101800739765,0.2,0.015592363,150,3.1107392847537993
203.11,-0.46831993108575254,260,87040,19,1,0.0003,0.02808200754225254,0.6337475180625916,-0.0021086194690062916,0.055849045515060425,0.05112798511981964,0.18717447939244183,0.2,0.04437079,155,3.108835968104276
