time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/std
39,1,128,81920,0.27404451103147875,301.98,0.9026702046394348,-0.00845431502093561,0.0019391519686905666,0.014838805,0.15429285131394863,150,0.0003,0.2,3.1179697811603546,0.01743222214281559,0.05088004469871521
20,1,248,87040,0.3253751397762095,292.14,0.9082549810409546,-0.00814345683902502,0.002158475818578154,0.01333341,0.17027808725833893,160,0.0003,0.2,3.1180649598439536,0.02050994709134102,0.050917983055114746
28,1,182,92160,0.325313284205536,296.35,0.9225848317146301,-0.012684897164581344,0.001502414935384877,0.016572211,0.15232020244002342,170,0.0003,0.2,3.11809720993042,0.008155673742294312,0.05085795372724533
32,1,158,97280,0.3254548865021924,298.38,0.8755004405975342,-0.012875684071332216,0.0021171607048017906,0.013149019,0.14257675558328628,180,0.0003,0.2,3.120100665092468,0.015810051932930946,0.05088605731725693
35,1,144,102400,0.32927562784457287,300.71,0.8219773173332214,-0.011562130785750923,0.0021912605152465403,0.017784951,0.170376855507493,190,0.0003,0.2,3.122503936290741,0.020084336400032043,0.050626240670681
34,1,149,107520,0.2675241812444494,322.32,0.7278692722320557,-0.00972936498656054,0.004656969598727301,0.015097845,0.194457234069705,200,0.0003,0.2,3.12592436671257,0.036374323070049286,0.05084502324461937
27,1,183,112640,0.28159395342833293,295.07,0.8454927206039429,-0.011982287901143232,0.001966021345773091,0.014798249,0.1293826937675476,210,0.0003,0.2,3.116714533170064,0.00815892405807972,0.05099405348300934
25,1,200,117760,0.2705031216616565,299.98,0.8554641008377075,-0.003139019263908267,0.002044003780465573,0.019443091,0.16282670453190803,220,0.0003,0.2,3.113214874267578,0.0009403106523677707,0.0510508194565773
25,1,202,122880,0.2782767323580276,286.21,0.8607844114303589,-0.009819976026483346,0.0020086238335352393,0.013587048,0.1965731531381607,230,0.0003,0.2,3.109350252151489,0.014695385470986366,0.051204241812229156
17,1,294,128000,0.2821664248463559,274.23,0.9117977023124695,-0.014737624737123648,0.0018029008565160136,0.01412548,0.14113260457913082,240,0.0003,0.2,3.102973381678263,0.011564175598323345,0.05138162523508072
30,1,165,133120,0.2836373322030365,278.41,0.9492655992507935,-0.008034311138908378,0.001326090467046015,0.015128432,0.14909513918682932,250,0.0003,0.2,3.0967569828033445,0.020054446533322334,0.05149926617741585
20,1,246,138240,0.28579047220191706,276.18,0.8465846180915833,-0.009022316422488075,0.001879211241612211,0.013682276,0.14975651083514094,260,0.0003,0.2,3.087331485748291,0.03585319221019745,0.05185520276427269
23,1,220,143360,0.2852540060084152,291.26,0.9415559768676758,-0.01099163633707576,0.0012443880055798217,0.012007309,0.13342986293137074,270,0.0003,0.2,3.0778424739837646,0.011452380567789078,0.05200368911027908
27,1,187,148480,0.2777917452288468,283.82,0.8491496443748474,-0.014711020758841186,0.0021344137688477836,0.014306414,0.17184960034986338,280,0.0003,0.2,3.072862156232198,0.009970735758543015,0.052106231451034546
9,1,515,153600,0.23097706489990844,303.95,0.6828165054321289,-0.012821678695036098,0.004943027917761356,0.01290802,0.1757624264806509,290,0.0003,0.2,3.0671533942222595,0.020499056205153465,0.052323728799819946
26,1,195,158720,0.2943147433943746,267.61,0.910677969455719,-0.004194083507172763,0.0015315648401156069,0.018354138,0.2085839845240116,300,0.0003,0.2,3.0615521550178526,0.02255094237625599,0.05239327251911163
12,1,413,163840,0.2942174869343639,275.94,0.8842880725860596,-0.01487933615280781,0.001644133811350912,0.014457486,0.15267392098903657,310,0.0003,0.2,3.057473373413086,0.007501478306949139,0.05256102979183197
30,1,169,168960,0.28392382780657105,281.59,0.9712014198303223,-0.007955918877269142,0.0007264964515343308,0.009326013,0.11341583086177706,320,0.0003,0.2,3.05425488948822,0.01492257323116064,0.0525115430355072
17,1,291,174080,0.30642478410074375,266.09,0.8741128444671631,-0.012093739359988831,0.0016870241845026613,0.0150465,0.1629527253098786,330,0.0003,0.2,3.0528728306293487,0.010245371609926224,0.05270322784781456
30,1,170,179200,0.3026145036471287,268.42,0.941322922706604,-0.013720945967361332,0.001064061070792377,0.017676052,0.15264542791992425,340,0.0003,0.2,3.0502239584922792,0.005355289671570063,0.05255952477455139
31,1,161,184320,0.30261513732644896,267.42,0.9140468239784241,-0.014371928401912253,0.0014388446715505173,0.012650299,0.1496442305545012,350,0.0003,0.2,3.0545971075693767,0.013827434740960598,0.0525897853076458
