time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
118,1,640,5,,,,,,,,,,,,
139,1,1280,4,2,3e-05,0.2,-0.0001945182215422392,0.3679368495941162,6.679632e-06,-1.0177209496498107,0.05688285082578659,0.0,0.016062157228589058,,
194,1,1920,3,4,3e-05,0.2,-3.182515501976013e-05,0.434575617313385,3.2793264e-06,-1.024675476551056,0.12613811045885087,0.0,0.03516273945569992,-0.3921276644716757,145.4
362,1,2560,1,6,3e-05,0.2,-0.000186301604117034,0.5636768341064453,1.5818615e-06,-1.026016816496849,0.1474028555676341,0.0,0.11037373542785645,-1.7079950274204467,175.66666666666666
152,1,3200,4,8,3e-05,0.2,-9.628935498540159e-05,0.14688599109649658,4.1760822e-07,-1.0252300798892975,0.04509077360853553,0.0,0.0018605906516313553,-1.4999566143166232,185.8
125,1,3840,5,10,3e-05,0.2,-3.1172744229479576e-05,0.3981715440750122,4.615919e-06,-1.037519320845604,0.03153213998302817,0.0,0.007066070102155209,-1.4999566143166232,185.8
157,1,4480,4,12,3e-05,0.2,-8.735749870538711e-05,0.2993711829185486,4.633074e-06,-1.0442107796669007,0.05345978513360024,0.0,0.013686677441000938,-1.096864183920971,172.5
261,1,5120,2,14,3e-05,0.2,0.00010244871955364943,0.6033741235733032,1.4772406e-06,-1.0460175275802612,0.07345298863947392,0.0,0.03953380882740021,-1.0784950243157534,178.9
99,1,5760,6,16,3e-05,0.2,2.5351298972964287e-05,0.2452683448791504,7.2526745e-08,-1.0331181287765503,0.0768551267683506,0.0,0.0280618853867054,-1.0784950243157534,178.9
