time,agent,route_target_index,route_target_distance_km,route_clearance_km,route_target_east_km,route_target_north_km,route_target_in_static_domain,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
0.0,KL001,1,49.844546189850774,3.0,99.1318459770889,54.36999701827091,,True,52.16141289943783,5.9462492146723225,150.0,152.40357712476657,114.51390466687954,-0.15305604405344297,-0.13149040937423706,0.20550048351287842,AC10,26.1961607798708,False,43.02764296531677,0.20550048351287842,False,False,False,False,False,False,False,48.66252084924855,0.0,45.0,-1.9723570346832275,0.20550048351287842
10.0,KL001,1,50.14516669711455,3.0,99.1318459770889,54.36999701827091,True,True,52.150365993515074,5.932988354328632,150.70431368226886,153.1178540162991,113.00718102310816,17.08426589301206,-0.15452039241790771,0.24466514587402344,AC10,27.21518247028643,False,42.68219321966171,0.24466514587402344,False,False,False,False,False,False,False,50.54432450314703,0.0,45.0,-2.3178067803382874,0.24466514587402344
20.0,KL001,1,50.038990641559096,3.0,99.1318459770889,54.36999701827091,True,True,52.14214622513556,5.914932077309147,151.54294529873818,153.96832656541298,111.63219052165661,34.45553064721287,-0.1849188208580017,0.21860110759735107,AC10,28.005791583380553,False,42.226217687129974,0.21860110759735107,False,False,False,False,False,False,False,52.00260700853349,0.0,45.0,-2.7737823128700256,0.21860110759735107
30.0,KL001,1,49.531248696186786,3.0,99.1318459770889,54.36999701827091,True,True,52.13749565938154,5.893650035049166,152.29218433180392,154.7281237675315,110.51873779532197,51.94748593989999,-0.18880021572113037,0.16668319702148438,AC10,28.580147925485235,False,42.167997658252716,0.16668319702148438,False,False,False,False,False,False,False,53.06105565796431,0.0,45.0,-2.832002341747284,0.16668319702148438
40.0,KL001,1,48.65369312092112,3.0,99.1318459770889,54.36999701827091,True,True,52.136840250550975,5.871000511802262,152.86336193541666,155.30733722886887,109.77575267773301,69.53289236163252,-0.19895702600479126,0.1471349000930786,AC10,28.95723851524023,False,42.0156455039978,0.1471349000930786,False,False,False,False,False,False,False,53.75581500924137,0.0,45.0,-2.9843544960021973,0.1471349000930786
50.0,KL001,1,47.46339964381351,3.0,99.1318459770889,54.369997018270894,True,True,52.140251543727345,5.848939227786739,153.3674943650846,155.81855282751516,109.47728424435235,87.15292211939527,-0.11941438913345337,0.21186232566833496,AC10,29.171374646719634,False,31.302999258041382,0.21186232566833496,False,False,False,False,False,False,False,54.151269280998314,0.0,33.094215989112854,-1.7912167310714722,0.21186232566833496
60.0,KL001,1,46.0398580086196,3.0,99.1318459770889,54.36999701827091,True,True,52.14745898569809,5.829324876581201,154.0936160989295,156.5548611441367,109.65413728728757,104.70708728934511,-0.02370387315750122,0.2807321548461914,AC10,29.270484895882515,False,16.792868077754974,0.2807321548461914,False,False,False,False,False,False,False,54.33689017869401,0.0,17.148425728082657,-0.3555576503276825,0.2807321548461914
70.0,KL001,1,44.4848657374694,3.0,99.1318459770889,54.36999701827091,True,True,52.1578828571383,5.813806876254741,155.05593332998606,157.53065006271922,110.29219137062002,122.09285887538101,0.19903314113616943,0.40575170516967773,AC10,29.315252870226537,False,3.7865928187966347,0.40575170516967773,False,False,False,False,False,False,False,54.42567572498867,0.0,0.8010957855731249,2.98549703322351,0.40575170516967773
80.0,KL001,1,42.89722658875654,3.0,99.1318459770889,54.36999701827091,True,True,52.17007928957647,5.801670465717233,156.44701788929004,158.94115122470382,111.21958649698415,126.55162129114808,0.24921083450317383,0.4693561792373657,AC10,29.356532008922493,False,0.6552472338080406,0.4693561792373657,False,False,False,False,False,False,False,54.51087617210041,0.0,-3.082915283739567,3.7381625175476074,0.4693561792373657
90.0,KL001,1,41.29499712812473,3.0,99.1318459770889,54.36999701827091,True,True,52.18251862800001,5.789729994501443,158.05623763222758,160.5727470733953,112.1921613197744,127.86645915573524,0.24997282028198242,0.46388840675354004,AC10,29.392541884963066,False,-0.12995381257496774,0.46388840675354004,False,False,False,False,False,False,False,54.58679575523808,0.0,-3.8795461133122444,3.7495923007372767,0.46388840675354004
