time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate
51200,226.5,161,15,1,-0.646435941480511,0.052074696868658066,0.1977721132338047,3.077098101377487,0.8378888964653015,0.024868436,0.018800582736730576,0.2,179,0.012521568150259555,-0.01466465286212042,0.0003
53760,229.23,178,14,1,-0.6792996485786965,0.052101604640483856,0.20480313301086425,3.071258282661438,0.8799849152565002,0.01552336,0.030008435249328613,0.2,189,0.014831762931620081,-0.007274767182146509,0.0003
56320,227.36,201,12,1,-0.7179618270877289,0.052216991782188416,0.17894394186635812,3.0694711049397787,0.8488309979438782,0.018784577,0.009907878935337067,0.2,199,0.03306906254341205,-0.016891061677597463,0.0003
58880,229.83,172,14,1,-0.7318174952541486,0.05224110931158066,0.22400961816310883,3.065535306930542,0.80265212059021,0.023736991,0.011464006267488003,0.2,209,0.01879235196392983,-0.017239777943177614,0.0003
61440,227.65,188,13,1,-0.7020007761387745,0.05249609798192978,0.20493747480213642,3.0616415619850157,0.7987330555915833,0.018505335,0.005339954514056444,0.2,219,0.014950371894519776,-0.012669031953555532,0.0003
64000,225.75,200,12,1,-0.6136522556215726,0.052612967789173126,0.18703055419027806,3.053954374790192,0.8406599164009094,0.016809331,0.012165749445557594,0.2,229,0.015826192498207093,-0.01037118110107258,0.0003
66560,225.43,186,13,1,-0.6855239537742831,0.05264434963464737,0.1921104345470667,3.0505416989326477,0.8212188482284546,0.013635525,0.0028285931330174208,0.2,239,0.010138568526599556,-0.015465213203424356,0.0003
69120,227.47,361,7,1,-1.070352004220974,0.05257895588874817,0.1480737659148872,3.052354109287262,0.7902005314826965,0.014378991,0.04568701609969139,0.2,249,0.12862158147618175,-0.016635864763520657,0.0003
71680,212.56,286,8,1,-1.1560359877879773,0.052401281893253326,0.19524257288624844,3.05597501595815,0.8337696194648743,0.02973023,0.008620688691735268,0.2,259,0.07894474609444539,-0.012136170242835457,0.0003
74240,212.86,257,9,1,-1.1354196664338885,0.05242941901087761,0.21399270173381357,3.0603073554880478,0.6674863696098328,0.04784466,0.046896856278181076,0.2,268,0.04050682561800761,-0.00973749372026171,0.0003
76800,206.73,252,10,1,-1.112499717738266,0.052557989954948425,0.2008317244052887,3.0559898233413696,0.7331862449645996,0.018695535,0.01712644100189209,0.2,278,0.025440336670726538,-0.010561128188855946,0.0003
79360,197.15,252,10,1,-1.1248267749374226,0.052676595747470856,0.19682175107300282,3.0512066066265104,0.8062756061553955,0.017956253,0.007977302186191082,0.2,288,0.02086774364579469,-0.01578349117189646,0.0003
81920,195.23,275,9,1,-1.0093484680322686,0.052458256483078,0.21238620817661286,3.0526702928543092,0.8212999105453491,0.027614865,0.00033054081723093987,0.2,298,0.016020607613027097,-0.017743827718077226,0.0003
84480,197.4,282,9,1,-1.0286707990695292,0.05256186053156853,0.23626249134540558,3.0566648483276366,0.8242540955543518,0.014219385,0.024857113137841225,0.2,308,0.02398066218011081,-0.003264422070060391,0.0003
87040,199.37,299,8,1,-1.0729562557296226,0.05241742730140686,0.15879466614375512,3.0551230271657306,0.8266369104385376,0.017305477,0.00931188277900219,0.2,318,0.021137642053266365,-0.01803527045218895,0.0003
89600,201.0,268,9,1,-1.0479386886303108,0.052312638610601425,0.15626550134685305,3.0615247090657554,0.8924760818481445,0.035221025,0.04658466577529907,0.2,323,0.01688840938732028,-0.0034689903744341186,0.0003
