time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss
2560,26,95,1,-0.4548335608643158,196.0,,,,,,,,,,,
5120,19,129,1,-0.653504726538028,194.23529411764707,0.010057122446596622,0.2,0.52402663230896,-0.011582127129659057,0.16470108717679977,10,0.038185104373842475,0.04254851117730141,0.014323173,0.0003,2.4235770177841185
7680,16,159,1,-0.8354081173837867,211.7,0.010096268728375435,0.2,0.24372291564941406,-0.011345668890862725,0.1275544986128807,20,0.04053733237087727,0.0035496787168085575,0.012456388,0.0003,2.461244010925293
10240,20,127,1,-0.8170122873437096,206.36666666666667,0.010107866488397121,0.2,0.6577877998352051,-0.011406486853957176,0.14878417352835338,30,0.034819017599026364,0.009841717779636383,0.015586204,0.0003,2.5055824677149454
12800,17,149,1,-0.6937480639849726,208.8918918918919,0.010114726610481739,0.2,0.6791545748710632,-0.009953882405534386,0.1544226599857211,40,0.012685316591523587,0.011996892280876637,0.014811727,0.0003,2.4797845780849457
15360,13,189,1,-1.4083449042877667,238.225,0.01012201514095068,0.2,0.6124658584594727,-0.010997524436485643,0.107764716198047,50,0.033697752219935255,0.012973454780876637,0.012655196,0.0003,2.5053478797276814
17920,1647,1,1,-1.2516876177312906,226.86,0.010117030702531338,0.2,0.700563371181488,-0.01280755790648982,0.15504966606386006,60,0.11551997251808643,0.03815208747982979,0.015673194,0.0003,2.61172935962677
20480,2272,1,1,-1.213436036110627,219.18333333333334,0.01010726299136877,0.2,0.5929261445999146,-0.01080357096507214,0.12465432789176703,70,0.03912572441622615,0.012997019104659557,0.0128573105,0.0003,2.514809650182724
