time,east_km,north_km,goal_distance_km,heading_deg,cas_mps,target_east_km,target_north_km,target_distance_km,clearance_km,residual_heading,residual_speed,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
270.0,-20.025115838893957,28.347864274512137,96.98116537325122,149.2764788897515,162.99999999999994,14.613042157354474,-53.028906409107094,88.44196286982452,3.0,-0.499420166015625,0.6488676071166992,0.17510868608951569,1.0,False,False,False,False,False,False,False,13.852561273999054,0.0,7.666411176323891,-7.491302490234375,1.0,1.0,0.0
280.0,-19.179377486489628,26.922809938558615,95.32540193636379,149.45158757584102,162.99999999999994,14.613042157354478,-53.02890640910711,86.79979592328117,3.0,-0.497397780418396,0.6491197347640991,0.1755928248167038,1.0,False,False,False,False,False,False,False,13.710371157006492,0.0,7.636559531092644,-7.46096670627594,1.0,1.0,0.0
290.0,-18.338278149080473,25.495184774476954,93.66971569568597,149.62718040065772,162.99999999999994,14.613042157354457,-53.02890640910711,85.15763269458056,3.0,-0.4953616261482239,0.6494804620742798,0.17785392701625824,1.0,False,False,False,False,False,False,False,13.564913253120949,0.0,7.608278319239616,-7.430424392223358,1.0,1.0,0.0
300.0,-17.501880160110716,24.064969346571214,92.0141261952594,149.80503432767398,162.99999999999994,14.613042157354478,-53.02890640910711,83.51547110858436,3.0,-0.42640364170074463,0.5924205780029297,1.1838123947381973,1.0,False,False,False,False,False,False,False,13.253302299790176,0.0,7.579867020249367,-6.396054625511169,1.0,1.0,0.0
310.0,-16.695591798882216,22.617865204559646,90.35957506193881,150.98884672241218,162.99999999999994,14.61304215735447,-53.02890640910711,81.86980283215463,3.0,-0.43489521741867065,0.5978615283966064,0.004073381314810831,1.0,False,False,False,False,False,False,False,10.775132461564233,0.0,6.52750164270401,-6.523428261389199,1.0,1.0,0.0
320.0,-15.889643030591403,21.170704012534596,88.70506959671101,150.992920103727,162.99999999999994,14.613042157354455,-53.02890640910712,80.22465949069733,3.0,-0.3961440920829773,0.5768740177154541,-15.000000000000002,1.0,True,False,False,False,True,False,False,10.877102722051083,0.0,6.660027578473091,-5.942161409184337,1.0,1.0,0.0
330.0,-14.878232680178336,19.86406682481057,87.06415440483885,135.992920103727,162.99999999999994,14.613042157354467,-53.0289064091071,78.63282290763529,3.0,-0.19108206033706665,0.5394396781921387,-5.000000000000002,1.0,True,False,False,False,True,False,False,10.963575037269448,0.0,21.979650110006332,-2.8662313520908356,1.0,1.0,0.0
340.0,-13.635154371882798,18.766872347351985,85.48422786928685,130.992920103727,162.99999999999994,14.613042157354478,-53.028906409107115,77.15305861986832,3.0,-0.15350520610809326,0.5435148477554321,0.0,1.0,True,False,False,False,True,False,False,10.833359326352042,0.0,27.529820501804352,-2.3025771975517273,1.0,1.0,0.0
350.0,-12.381594784460185,17.68142546627716,83.91202439549618,130.992920103727,162.99999999999994,14.61304215735448,-53.02890640910711,75.68792147725665,3.0,-0.06014126539230347,0.5612666606903076,0.0,1.0,True,False,False,False,True,False,False,10.838015328900068,0.0,28.11203956604004,-0.9021180868148804,1.0,1.0,0.0
360.0,-11.128310278529565,16.595978585202335,82.34323912400228,130.992920103727,162.99999999999994,14.613042157354464,-53.02890640910711,74.2310031974458,3.0,0.022444844245910645,0.6024606227874756,0.0,1.0,True,False,False,False,True,False,False,10.84236012690928,0.0,28.71697962284088,0.3366735577583313,1.0,1.0,0.0
370.0,-9.875300696977384,15.510531704127512,80.7780710536452,130.992920103727,162.99999999999994,14.613042157354457,-53.02890640910711,72.78278307834364,3.0,0.029250383377075195,0.6042947769165039,0.0,1.0,True,False,False,False,True,False,False,10.84639361164725,0.0,29.34586375951767,0.43875575065612793,1.0,1.0,0.0
380.0,-8.622565882809337,14.425084823052687,79.21673443533541,130.992920103727,162.99999999999994,14.613042157354485,-53.02890640910711,71.34377628177819,3.0,0.035881876945495605,0.6061385869979858,0.0,1.0,True,False,False,False,True,False,False,10.850115664127808,0.0,29.999990165233612,0.5382281541824341,1.0,1.0,0.0
390.0,-7.3701056791502655,13.339637941977863,77.65946020606239,130.992920103727,162.99999999999994,14.61304215735448,-53.0289064091071,69.91453688671302,3.0,0.44912290573120117,0.6068863868713379,5.000000000000002,1.0,True,False,False,False,True,False,False,10.37012286018966,0.0,30.680742859840393,6.736842691898346,1.0,1.0,0.0
400.0,-6.2063441794141045,12.16078301958999,76.06652302652815,135.992920103727,162.99999999999994,14.613042157354466,-53.0289064091071,68.4334892815616,3.0,0.3808906078338623,0.5751011371612549,0.0,1.0,True,False,False,False,True,False,False,10.35308073762824,0.0,26.295352578163147,5.713360011577606,1.0,1.0,0.0
410.0,-5.054057053306984,10.97061120726401,74.47173537742906,135.992920103727,162.99999999999994,14.613042157354474,-53.02890640910711,66.95321535587516,3.0,0.3827856779098511,0.5754671096801758,0.0,-1.0,True,False,False,False,True,False,False,10.350731295933775,0.0,26.92484825849533,5.741786062717438,1.0,1.0,0.0
420.0,-3.922613504251348,9.801690375781288,72.9081801190407,135.992920103727,159.5698558018131,14.613042157354467,-53.02890640910712,65.5076669035835,3.0,0.37973833084106445,0.5744624137878418,5.000000000000002,1.0,True,False,False,False,True,False,False,10.281232779940138,0.0,27.570493519306183,5.696075856685638,1.0,1.0,0.0
430.0,-2.870656389183803,8.529735263564051,71.29268354453139,140.992920103727,162.9989758278047,14.613042157354464,-53.02890640910711,63.99332839797091,3.0,0.37576985359191895,0.6008419990539551,28.78818154335022,1.0,False,False,False,False,False,False,False,10.279270656606197,0.0,23.151634633541107,5.6365469098091125,1.0,1.0,0.0
440.0,-2.0370048112387282,7.1056008201777185,69.6439352865719,156.81617105348386,162.99999999999994,14.613042157354478,-53.02890640910711,62.396979283978716,3.0,0.22725236415863037,0.6409550905227661,11.116264387965202,1.0,False,False,False,False,False,False,False,10.736504616642055,0.0,7.707479149103165,3.4087852388620377,1.0,1.0,0.0
450.0,-1.5973289071561316,5.513286486530432,68.02853865356198,167.93243544144906,162.99999999999994,14.613042157354474,-53.02890640910711,60.745077817706,3.0,0.0969465970993042,0.6870670318603516,-1.9556809030473232,1.0,False,False,False,False,False,False,False,11.501749771515673,0.0,-3.4098799154162407,1.4541990123689175,1.0,1.0,0.0
460.0,-1.1970363085297906,3.9076127530074585,66.42164937937814,165.97675453840174,162.99999999999994,14.613042157354473,-53.02890640910711,59.09082666027999,3.0,0.08565783500671387,0.6828961372375488,-0.21074629621580243,1.0,False,False,False,False,False,False,False,12.639540133219127,0.0,-1.4956138283014297,1.2848675320856273,1.0,1.0,0.0
470.0,-0.7899192733211694,2.3036825911989234,64.81540995632123,165.76600824218593,162.99999999999994,14.61304215735444,-53.028906409107115,57.43645729248688,3.0,0.09103119373321533,0.6812193393707275,0.04382475191960111,1.0,False,False,False,False,False,False,False,12.326766320924566,0.0,-1.321643153205514,1.365467905125115,1.0,1.0,0.0
480.0,-0.38416089355628685,0.6994416898476283,63.21201761509818,165.80983299410553,162.99999999999994,14.613042157354476,-53.02890640910711,55.782178953431895,3.0,-0.03058725595474243,0.5629159212112427,-1.8646636605262756,1.0,False,False,False,False,False,False,False,10.441474050167415,0.0,-1.405854793265462,-0.4588088672608137,1.0,1.0,0.0
490.0,0.07266639282033416,-0.890974191466903,61.598445421437155,163.94516933357926,162.99999999999994,14.613042157354476,-53.0289064091071,54.12750228215871,3.0,0.027356505393981934,0.598117470741272,-10.000000000000004,1.0,True,False,False,False,True,False,False,11.188482081379847,0.0,0.47195533756166697,0.4103475948795676,1.0,1.0,0.0
500.0,0.728123753170116,-2.4077375578706643,59.953564082634564,153.94516933357926,162.99999999999994,14.613042157354469,-53.02890640910711,52.49089154278339,3.0,0.05218398571014404,0.6050992012023926,0.0,1.0,True,False,False,False,True,False,False,11.054104677245245,0.0,10.716366469860077,0.7827597856521606,1.0,1.0,0.0
510.0,1.4544621482554225,-3.894305060604959,58.30046741381332,153.94516933357926,162.99999999999994,14.613042157354446,-53.028906409107115,50.866071968770015,3.0,-0.044731974601745605,0.6575034856796265,0.0,1.0,True,False,False,False,True,False,False,11.051098513942874,0.0,11.062443181872368,-0.6709793955087662,1.0,1.0,0.0
520.0,2.1805837847964527,-5.380872563339254,56.64751871106385,153.94516933357926,162.99999999999994,14.613042157354474,-53.02890640910711,49.24328533468118,3.0,-0.09010457992553711,0.6934504508972168,0.0,1.0,True,False,False,False,True,False,False,11.04781814858206,0.0,11.43110141158104,-1.3515684753656387,1.0,1.0,0.0
530.0,2.906488831690552,-6.867440066073548,54.99473123990585,153.94516933357926,162.99999999999994,14.61304215735446,-53.028906409107115,47.62272950709181,3.0,0.002354741096496582,0.748429536819458,5.000000000000002,1.0,True,False,False,False,True,False,False,10.265717483798985,0.0,11.82461366057396,0.035320669412612915,1.0,1.0,0.0
540.0,3.514725876964715,-8.405630503761948,53.35572150335804,158.94516933357926,162.99999999999994,14.613042157354476,-53.02890640910711,45.98270736683653,3.0,-0.1477227807044983,0.7337857484817505,0.0,-1.0,True,False,False,False,True,False,True,10.259900124003,0.2781762865679399,7.088098078966141,-2.2158415988087654,1.0,1.0,0.0
550.0,4.097509907907923,-9.922313472906424,51.74906051095039,158.94516933357926,159.5698558018131,14.613042157354467,-53.02890640910711,44.37065215946749,3.0,-0.14362090826034546,0.7462012767791748,0.0,-1.0,True,False,False,False,True,False,False,10.270722227214922,0.0,7.345700785517693,-2.154313735663891,1.0,1.0,0.0
560.0,4.667579538014497,-11.40635311694487,50.17817439023078,158.94516933357926,156.13972249447147,14.61304215735445,-53.028906409107115,42.79426561201365,3.0,-0.14180827140808105,0.7640718221664429,0.0,-1.0,True,False,False,False,True,False,True,9.684399487148076,2.95026808704161,7.616316229104996,-2.1271241828799248,1.0,1.0,0.0
570.0,5.224945999240322,-12.857749238656691,48.643096073280915,158.94516933357926,152.70960007794022,14.613042157354464,-53.02890640910711,41.253584303512675,3.0,-0.04419887065887451,0.8059661388397217,0.0,-1.0,True,False,False,False,True,False,True,7.96569942637011,13.691044821387376,7.900755777955055,-0.6629830598831177,1.0,1.0,0.0
580.0,5.769620330890854,-14.276501823920691,47.14385894416942,158.94516933357926,149.2794885521849,14.613042157354464,-53.02890640910711,39.748647407613134,3.0,-0.20498275756835938,0.7275396585464478,5.000000000000002,-1.0,True,False,False,False,True,False,True,5.720047090350301,37.38659638730344,8.199882432818413,-3.0747412517666817,1.0,1.0,0.0
590.0,6.191044941591083,-15.700100220710452,45.706225398690925,163.94516933357926,145.84938791717107,14.613042157354467,-53.02890640910711,38.267085184962895,3.0,-0.1308673620223999,0.7530286312103271,45.0,-1.0,True,False,False,False,True,False,True,4.380429382319803,47.6570120938909,3.340827114880085,-1.9630104582756758,1.0,1.0,0.0
