time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,train/loss,train/entropy_loss,train/n_updates,train/clip_range,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/explained_variance
5,107,640,1,,,,,,,,,,,,
5,124,1280,1,-0.0006185317179188132,0.042270683124661444,3e-05,127.33333333333333,-0.0003687739372253418,-1.554635214805603,2,0.2,-0.8080005222921182,5.3915195e-05,0.0,0.7121492624282837
3,213,1920,1,0.00010759297292679548,0.11237012669444084,3e-05,153.44444444444446,0.04575369134545326,-1.5464696764945984,4,0.2,-0.37845699113608045,1.4404972e-05,0.0,0.39879339933395386
3,169,2560,1,-0.00018342148177907802,0.09104543551802635,3e-05,161.0,0.025945255532860756,-1.5440291961034138,6,0.2,-0.30332814086403037,2.9929006e-06,0.0,0.7247506380081177
5,118,3200,1,-0.0005073217416793341,0.03018082957714796,3e-05,161.0,-0.0072675663977861404,-1.547602653503418,8,0.2,-0.30332814086403037,1.7409473e-05,0.0,0.815917432308197
4,139,3840,1,-0.0002859238535165787,0.03632996063679457,3e-05,152.0,0.0031349193304777145,-1.5614037275314332,10,0.2,-0.21245767351805997,3.386112e-05,0.0,0.6068609356880188
2,235,4480,1,-0.00043345626327209177,0.09634151794016362,3e-05,159.4,0.008906388655304909,-1.573872411251068,12,0.2,-0.21913588382072485,4.6189547e-05,0.0,0.36108243465423584
5,109,5120,1,4.09836029575672e-05,0.0998041220009327,3e-05,159.4,0.04035274684429169,-1.565306395292282,14,0.2,-0.21913588382072485,3.4985894e-06,0.0,0.6939108371734619
6,102,5760,1,-0.00012909536017104983,0.01365395514294505,3e-05,159.4,-0.010153857991099358,-1.5851443886756897,16,0.2,-0.21913588382072485,1.3724528e-05,0.0,0.07036381959915161
