time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/std,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/policy_gradient_loss
220,11,262.18,79360,-0.7539444270634427,1,0.48989254236221313,0.25734637013596035,0.2,3.1541012162747593,0.05001702904701233,0.0003,0.09316580791188322,50,0.052561045,0.047224871814250946,-0.003803714418292815
206,12,252.3,81920,-0.7891041066373234,1,0.7908575534820557,0.1744711548089981,0.2,3.1526421546936034,0.05002975091338158,0.0003,0.04443850070238113,52,0.057766132,0.06187787652015686,0.00806260434910655
199,12,240.55,84480,-0.3741854767600883,1,0.6751197576522827,0.275390625,0.2,3.1523337364196777,0.050033193081617355,0.0003,0.05689527280628681,53,0.031872608,0.12191866338253021,0.03056125610601157
604,4,234.83,87040,-0.2972121023963153,1,0.7558038234710693,0.28873019218444823,0.2,3.152117967605591,0.050039976835250854,0.0003,0.0976637676358223,55,0.095854715,0.15250414609909058,0.026623426377773284
258,9,234.83,89600,-0.2893593494737049,1,0.7939444780349731,0.23249370455741883,0.2,3.151548171043396,0.05006784945726395,0.0003,0.03454125598073006,65,0.029777933,0.031231410801410675,-0.010831378356223808
192,13,225.75,92160,-0.43075566195098136,1,0.7566936612129211,0.23136780824926165,0.2,3.1504798465304904,0.050091762095689774,0.0003,0.05545552116301325,68,0.035450105,0.07113289833068848,-0.0005062569042719486
265,9,217.31,94720,-0.42321910958386316,1,0.8436448574066162,0.2580101845356134,0.2,3.149887598477877,0.05008675903081894,0.0003,0.050029074056790426,72,0.07287033,0.055303558707237244,0.011150360555173112
254,10,215.93,97280,-0.41945669807590547,1,0.8089599609375,0.22230613231658936,0.2,3.1503166357676187,0.05008012801408768,0.0003,0.03404758373896281,74,0.044682454,0.06772168725728989,0.006852636889865001
136,18,213.86,99840,-0.3978663761649915,1,0.6716123819351196,0.2504808157682419,0.2,3.1503027975559235,0.05008738487958908,0.0003,0.03033096296712756,78,0.037668984,0.05837870016694069,0.0038674428942613304
165,15,214.35,102400,-0.43086231604303443,1,0.5808496475219727,0.31181624114513395,0.2,3.1505993366241456,0.050047002732753754,0.0003,0.046257270500063896,85,0.046942573,0.027351059019565582,-0.007104828371666372
155,16,213.4,104960,-0.5066227913891982,1,0.6534723043441772,0.14524729549884796,0.2,3.151877462863922,0.05004037916660309,0.0003,0.07477259449660778,86,0.014324233,0.09518951922655106,0.00522266689222306
137,18,212.37,107520,-0.5164696383259954,1,0.6061795949935913,0.2548828125,0.2,3.15203857421875,0.05003902316093445,0.0003,0.024283884093165398,87,0.022507343,0.06999911367893219,0.013414879038464278
4,630,214.44,110080,-0.48718549317153054,1,0.5137064456939697,0.2763671875,0.2,3.152097702026367,0.05003742873668671,0.0003,0.015500840730965137,88,0.028644413,0.081117182970047,0.02078899904154241
126,20,218.33,112640,-0.49099742429497945,1,0.37549036741256714,0.2481553852558136,0.2,3.1525490283966064,0.050016701221466064,0.0003,0.020358008332550526,90,0.038513064,-0.037610720843076706,-6.877072155475616e-05
63,40,216.42,115200,-0.4817976973442797,1,0.6281986236572266,0.2540494501590729,0.2,3.1531192461649575,0.05000873655080795,0.0003,0.006977579866846402,93,0.059794802,0.04863320291042328,0.006172748494141918
103,24,216.25,117760,-0.4280782624739543,1,0.32773667573928833,0.12281250059604645,0.2,3.1533391952514647,0.05000738799571991,0.0003,0.18710942715406417,94,0.015549404,0.25383260846138,0.021856037713587285
66,38,222.82,120320,-1.5070398335889101,1,0.5951998233795166,0.2274573436672134,0.2,3.153451749256679,0.049997784197330475,0.0003,0.868364508662905,98,0.055230282,0.4637562334537506,0.0037217464164963792
52,48,227.28,122880,-1.5370282155829649,1,0.7910246849060059,0.2908962154760957,0.2,3.15391506254673,0.05000033229589462,0.0003,0.1810949081555009,102,0.037574552,0.14486157894134521,0.013527759438147768
91,27,232.78,125440,-1.7063959902793782,1,0.7028355598449707,0.27428119629621506,0.2,3.1534374157587686,0.05000954866409302,0.0003,0.21076397597789764,104,0.06203726,0.16134577989578247,0.02193150745006278
84,30,235.94,128000,-1.7075027799490556,1,0.7893856167793274,0.3681640625,0.2,3.1531128883361816,0.05001632496714592,0.0003,0.28028666600584984,106,0.08121306,0.21473227441310883,0.015711857471615076
84,30,238.96,130560,-1.668951552306138,1,0.8100712895393372,0.23919270932674408,0.2,3.1529273986816406,0.050020016729831696,0.0003,0.11739825904369354,108,0.037365314,0.11101503670215607,0.015856179781258105
6,415,237.46,133120,-1.6016278512673774,1,0.7547746300697327,0.228515625,0.2,3.1528286933898926,0.05002088472247124,0.0003,0.09380519390106201,109,0.025309997,0.09225694090127945,0.010256959591060877
57,44,237.43,135680,-1.4794426296136731,1,0.6268320679664612,0.345703125,0.2,3.1528167724609375,0.050020650029182434,0.0003,0.07455151155591011,110,0.0772756,0.14296869933605194,0.03858533687889576
