rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate
-1.1933689630781614,322,15,5120,1,159.65,,,,,,,,,,,
-1.0417371166574818,357,14,10240,1,164.625,0.05001496523618698,0.15860497951507568,1,0.02386149112135172,3.1532881259918213,0.03945285081863403,0.23388671875,0.2,0.023560371,0.16844097524881363,0.0003
-1.0018566964064999,334,15,15360,1,162.94202898550725,0.050239428877830505,0.06042499095201492,11,-0.00888225678820163,3.1481795787811278,0.09838616847991943,0.14865347594022751,0.2,0.012011537,0.07135609962046147,0.0003
-0.8981690529533987,345,14,20480,1,164.61,0.050303615629673004,0.003199906088411808,21,-0.009065388415474445,3.1423269939422607,0.2874954342842102,0.16488505333662032,0.2,0.014390062,0.03669612869620323,0.0003
-0.7924142421062551,416,12,25600,1,164.82,0.05007182061672211,0.027910886332392693,31,-0.009502403523947578,3.145229625701904,0.5260125398635864,0.11350986622273922,0.2,0.009132995,0.028170852223411202,0.0003
-0.7180559977002561,406,12,30720,1,162.32,0.04996597766876221,0.024560946971178055,41,-0.011267277402803302,3.154165859222412,0.6827950477600098,0.12428479045629501,0.2,0.008682961,0.029165874160826208,0.0003
-0.7286717198319462,398,12,35840,1,164.77,0.04999106004834175,0.03844017535448074,51,-0.005791380065493286,3.1543201541900636,0.7185156941413879,0.1210910589993,0.2,0.00857905,0.04343722835183143,0.0003
-0.6875849794732737,357,14,40960,1,164.43,0.0500955805182457,0.030303489416837692,61,-0.010033603673800826,3.151986918449402,0.7418244481086731,0.14976811349391939,0.2,0.016765919,0.02486624153330922,0.0003
-0.701680972534253,278,18,46080,1,167.99,0.05014441907405853,0.01742785982787609,71,-0.009988482771441341,3.1485456323623655,0.7790042757987976,0.14460512906312942,0.2,0.012882365,0.01607182000763714,0.0003
-0.7465293129158742,345,14,51200,1,169.04,0.05042865872383118,0.020994793623685837,81,-0.009053666238469305,3.1434418821334837,0.7680589556694031,0.13849547408521176,0.2,0.01004154,0.02870975889265537,0.0003
-0.5943260705744869,338,15,56320,1,168.45,0.05029860883951187,0.019171318039298058,91,-0.010665361340506933,3.1380175161361694,0.7990615367889404,0.16630078107118607,0.2,0.014043614,0.02152459716424346,0.0003
-1.007578265285894,332,15,61440,1,172.57,0.050078995525836945,0.042952146381139755,101,-0.007171863305848092,3.1469570207595825,0.8746629953384399,0.21067057371139528,0.2,0.01979487,0.015144217472989113,0.0003
-1.0326865145568644,306,16,66560,1,170.93,0.05021918565034866,0.028517726808786392,111,-0.008115757151463185,3.1483893394470215,0.6614981889724731,0.1275965516269207,0.2,0.01253772,0.04075443226844072,0.0003
-1.0518244575898814,311,16,71680,1,171.81,0.050325118005275726,0.023519307374954224,121,-0.01056483345106244,3.142627353668213,0.652469277381897,0.12613210253417492,0.2,0.012735657,0.03480225306004286,0.0003
-1.1258997896365142,391,13,76800,1,172.63,0.05024052411317825,0.01568727008998394,131,-0.01261714887805283,3.141964501142502,0.828519880771637,0.1613299325108528,0.2,0.014009357,0.02196197775192559,0.0003
-0.7809288714582807,354,14,81920,1,168.62,0.05028066039085388,0.016563890501856804,141,-0.009049753025174141,3.144559483528137,0.8698769807815552,0.18172676876187324,0.2,0.015333258,0.018819484263658523,0.0003
-0.7338961699081874,356,14,87040,1,169.87,0.05041296035051346,0.022496124729514122,151,-0.010553511786565651,3.1403570890426638,0.8493182063102722,0.14914792627096177,0.2,0.01240918,0.026001085666939615,0.0003
-0.6200720112760526,363,14,92160,1,170.06,0.05057137832045555,0.02006327360868454,161,-0.010873105094651692,3.133383870124817,0.8948886394500732,0.13309074230492116,0.2,0.0115076415,0.02479886740911752,0.0003
-0.7078688507643507,343,14,97280,1,170.62,0.050816670060157776,0.014846975915133953,171,-0.01115368380851578,3.1268361449241637,0.8289771676063538,0.16220441404730082,0.2,0.012649193,0.019091156381182372,0.0003
-0.8023006866826365,312,16,102400,1,170.69,0.0509708896279335,0.025059755891561508,181,-0.009698087762808427,3.1183412253856657,0.8135388493537903,0.14641677867621183,0.2,0.015033234,0.029135439777746797,0.0003
-0.8790945859811843,325,15,107520,1,170.92,0.051137521862983704,0.0210458692163229,191,-0.007681272402405739,3.112035846710205,0.835126519203186,0.21077550612390042,0.2,0.019557297,0.020312168337404728,0.0003
-0.900316426600483,347,14,112640,1,172.83,0.051098696887493134,0.019366655498743057,201,-0.008534348194953054,3.109241681098938,0.8515998125076294,0.14822206288576126,0.2,0.0126715135,0.017571719251573085,0.0003
-0.9284950218451071,432,11,117760,1,170.22,0.05124752223491669,0.01785241812467575,211,-0.013727521826513111,3.1082379639148714,0.7928255796432495,0.13420552033931016,0.2,0.01268722,0.026383100543171167,0.0003
-0.920565140249417,395,12,122880,1,172.07,0.05132772773504257,0.06896093487739563,215,0.005540100379019148,3.1029981639650135,0.7764440774917603,0.18061631959345606,0.2,0.043044817,0.03386223160972198,0.0003
