time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/value_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl
124,193.0,20,2560,1,-0.7727007980937178,,,,,,,,,,,
147,176.52631578947367,17,5120,1,-1.0070330350838805,0.2,-0.01003325705678435,10,0.4381999969482422,0.05344597497023642,0.05016573145985603,0.0003,0.02941642329096794,0.1591115038841963,3.1497212409973145,0.010764126
147,177.72,17,7680,1,-0.7880208271307545,0.2,-0.00997974265483208,20,0.5043224096298218,0.04726518807001412,0.05024215579032898,0.0003,0.01544338371604681,0.1517474552616477,3.144779920578003,0.015162937
146,184.94285714285715,17,10240,1,-0.5893612005276091,0.2,-0.012183480069506914,30,0.6379344463348389,0.017800892936065793,0.050257325172424316,0.0003,0.018619317561388016,0.19620863925665616,3.143615633249283,0.014048532
135,189.8181818181818,18,12800,1,-0.5358276171639369,0.2,-0.009317052196711301,40,0.6670408248901367,0.016650808434933426,0.050477832555770874,0.0003,0.0054660518653690815,0.15754825457930566,3.1399062347412108,0.010796995
147,193.2156862745098,17,15360,1,-0.45459368536101896,0.2,-0.017644812210346573,50,0.447867751121521,0.02280927253887057,0.050808101892471313,0.0003,0.011587060056626797,0.19673549123108386,3.1272947669029234,0.017416041
184,205.5,13,17920,1,-0.4452750588971167,0.2,-0.01173203109356109,60,0.616580605506897,0.01573933893814683,0.05071592330932617,0.0003,0.021604828536510468,0.1628088217228651,3.12251592874527,0.015107665
139,204.47826086956522,18,20480,1,-0.4201963827475393,0.2,-0.011770223973629375,70,0.8702876567840576,0.008455932807798187,0.05076109990477562,0.0003,0.013366501778364182,0.18981448858976363,3.124831207593282,0.019520896
110,205.10526315789474,23,23040,1,-0.4185365898291342,0.2,-0.015860205935314297,80,0.6180939674377441,0.017198817955795677,0.05105739086866379,0.0003,0.0208700280636549,0.1910734811797738,3.11759614944458,0.017877858
147,208.50617283950618,17,25600,1,-0.5707515906399211,0.2,-0.00923120467166882,90,0.2328805923461914,0.041318072155117985,0.0511329285800457,0.0003,0.1369369775056839,0.19255551010370253,3.1098057556152345,0.022060778
112,206.95604395604394,22,28160,1,-0.5714289681104192,0.2,-0.014063232267290005,100,0.07753485441207886,0.019590572849847377,0.05103415250778198,0.0003,0.0035680728033185005,0.1636904432438314,3.111010563373566,0.013963089
125,206.58,20,30720,1,-0.7121365462311084,0.2,-0.014834298752248287,110,0.49813055992126465,0.03904267395846546,0.050910063087940216,0.0003,0.010406889021396637,0.15251112431287767,3.115737557411194,0.014059484
140,208.21,18,33280,1,-0.7322190886228759,0.2,-0.008666281276964583,120,0.2677861452102661,0.042134545953013004,0.05082787573337555,0.0003,0.03136931732296944,0.1494855459779501,3.119952416419983,0.013741654
201,210.04,12,35840,1,-0.7110538479746328,0.2,-0.007604382464196533,130,0.23762112855911255,0.027661443427205085,0.05090724304318428,0.0003,0.0248162392526865,0.17624442055821418,3.1195511865615844,0.012375817
154,208.34,16,38400,1,-0.6979679241137089,0.2,-0.007462066778151149,136,0.7410833835601807,0.016150808152319354,0.050997838377952576,0.0003,0.04132465645670891,0.20710311940109188,3.116047273982655,0.040784534
142,204.3,17,40960,1,-0.7420658881098309,0.2,-0.013087886322755366,146,0.5264362096786499,0.02060586308129132,0.05113285034894943,0.0003,-0.00688394159078598,0.18171164870262146,3.1116474294662475,0.019630667
122,204.56,20,43520,1,-0.771880490608192,0.2,0.00902621359564364,148,0.2760244607925415,0.05384013876318931,0.05113063007593155,0.0003,0.07114745676517487,0.2874802708625793,3.1092679023742678,0.045133185
112,197.41,22,46080,1,-0.7621146351047853,0.2,-0.01468108018161729,158,0.7598863840103149,0.017276819748803973,0.05125125125050545,0.0003,0.0056665861047804356,0.16538813188672066,3.1071832180023193,0.017498964
133,196.15,19,48640,1,-0.8193864737788664,0.2,-0.0072135585360229015,168,0.44995415210723877,0.04072767673060298,0.051267437636852264,0.0003,0.028693508356809616,0.19818079620599746,3.104718601703644,0.028815988
148,203.74,17,51200,1,-1.0986489189936814,0.2,-0.013316605177824386,178,0.4739900231361389,0.04513916101306677,0.05152694508433342,0.0003,0.015833159908652306,0.2086518895626068,3.0994091558456422,0.023419764
242,211.43,10,53760,1,-1.084111036320233,0.2,-0.014985811826772989,188,0.572873592376709,0.08477723719552159,0.051621273159980774,0.0003,0.025908319279551506,0.16582467053085564,3.0914814174175262,0.013911327
214,213.42,11,56320,1,-1.0528235607340293,0.2,-0.013410311665696402,198,0.9468579292297363,0.01002515791915357,0.05156978219747543,0.0003,0.02302457205951214,0.1845316270987193,3.091235152880351,0.015956348
121,213.88,21,58880,1,-0.9435018976872691,0.2,-0.013714153121691197,208,0.8187821507453918,0.016051933790246647,0.05141593888401985,0.0003,0.016485977917909622,0.16521163439999023,3.0947646379470823,0.018226048
279,222.62,9,61440,1,-1.0136224401571572,0.2,-0.0038583654491230845,218,0.48122096061706543,0.05254519574344158,0.051270492374897,0.0003,0.03789092227816582,0.1966205656528473,3.1019539403915406,0.012311585
135,222.26,18,64000,1,-0.9924994627873768,0.2,-0.004614612858313194,228,0.7696760296821594,0.05801693079993129,0.05132509022951126,0.0003,0.01966046541929245,0.2692751742899418,3.1032904624938964,0.018976063
172,222.3,14,66560,1,-1.024944262635796,0.2,-0.008834051685407757,238,0.5811465382575989,0.0323276274651289,0.05127918720245361,0.0003,0.03326895833015442,0.21644294619560242,3.1026883125305176,0.023818264
158,221.47,16,69120,1,-0.9713026906120006,0.2,-0.01047514917445369,248,0.6644985675811768,0.029443422611802817,0.05143313109874725,0.0003,0.01565595343708992,0.19203317873179912,3.101499742269516,0.014175878
150,224.02,17,71680,1,-1.1363741670370489,0.2,-0.010226213582791388,258,0.7319588661193848,0.040274210600182415,0.05148770660161972,0.0003,0.03931090235710144,0.2050495324190706,3.0964492082595827,0.023047175
