time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range
148,17,2560,0.053951211474714336,134.14285714285714,1,,,,,,,,,,
145,17,5120,-0.5822689061896807,171.0,1,0.5998451709747314,0.027297005,0.0927734375,0.0003,-0.35118333995342255,0.21228749305009842,0.14634966850280762,0.017288079485297203,1,0.2
228,11,7680,-0.9679454526778372,229.6315789473684,1,0.3494858741760254,0.020482343,0.1454465640708804,0.0003,-0.7377694338560105,0.03869461137801409,-0.03464449197053909,-0.01967903928598389,11,0.2
158,16,10240,-0.9262939721503956,230.66666666666666,1,0.6512129306793213,0.010718259,0.06875084556328753,0.0003,-0.3854142645994822,0.019035032608856757,-0.02218051254749298,-0.011220558841402332,21,0.2
384,6,12800,-0.7491936524322214,225.27586206896552,1,0.6856558322906494,0.047559164,0.11411313619464636,0.0003,-0.571146099931664,0.016694351177041728,-0.014572672545909882,-0.014286645106039941,30,0.2
189,13,15360,-0.7425149959084058,237.76666666666668,1,0.6695380210876465,0.015842749,0.09215686214156449,0.0003,-1.396972393989563,0.008118882449343801,-0.03882806748151779,-0.016460091387396493,40,0.2
143,17,17920,-0.6179750188646358,230.86486486486487,1,0.828734278678894,0.008698378,0.10168121550232172,0.0003,-1.374222457408905,0.023293060110881926,-0.03705505654215813,-0.011395101406378672,50,0.2
336,7,20480,-0.743804862870842,240.3846153846154,1,0.7103866338729858,0.018498179,0.14355336800217627,0.0003,-1.51391858458519,0.024178222904447468,-0.04462115466594696,-0.024424345296574758,60,0.2
108,23,23040,-0.7077837082303355,234.2,1,0.9032599925994873,0.010709305,0.11542168632149696,0.0003,-1.620392954349518,0.0037857024697586896,-0.04540560021996498,-0.016248551827507562,70,0.2
181,14,25600,-0.591879308333569,224.96428571428572,1,0.7825033068656921,0.013601074,0.04496286027133465,0.0003,-0.2882908996194601,0.013676316244527698,-0.022215165197849274,-0.011006329278461634,80,0.2
302,8,28160,-0.5749795416548198,226.87719298245614,1,0.6460825800895691,0.0144479,0.11535316592198797,0.0003,-1.0440717831254005,0.02610434256494045,-0.055709294974803925,-0.024784441519295798,90,0.2
132,19,30720,-1.237670293108295,242.9516129032258,1,0.6783483028411865,0.010773145,0.0836357791442424,0.0003,-1.5815933108329774,0.08428070116788149,-0.03402524068951607,-0.011655014980351552,100,0.2
126,20,33280,-1.2799307367502084,247.55384615384617,1,0.8138561248779297,0.014735455,0.13568860469385982,0.0003,-1.4773320376873016,0.04606572594493628,-0.036481406539678574,-0.02328796333167702,110,0.2
144,17,35840,-1.3724181993048885,268.57142857142856,1,0.7841027975082397,0.01275909,0.13656724579632282,0.0003,-1.7966830760240555,0.021792512852698565,-0.05563843995332718,-0.024253983149537816,120,0.2
213,11,38400,-1.358469860772839,259.7142857142857,1,0.6696775555610657,0.021582462,0.12524711079895495,0.0003,-1.2303903897603352,0.026816386015464863,-0.051143571734428406,-0.02556848810830464,130,0.2
238,10,40960,-1.4189408116973914,272.475,1,0.7158933877944946,0.022194082,0.15475260416666667,0.0003,-1.9014136950174967,0.043933796448012194,-0.0665200725197792,-0.03357516027366122,140,0.2
104,24,43520,-1.4232656318311643,268.2142857142857,1,0.8967057466506958,0.017680444,0.13100376212969422,0.0003,-2.4918620705604555,0.007095910969655961,-0.0548456534743309,-0.018967735528713094,150,0.2
180,14,46080,-1.4059821943546333,272.4712643678161,1,0.7056261301040649,0.01264133,0.1362864588946104,0.0003,-1.6018834948539733,0.04099616292864084,-0.05187392979860306,-0.026036269087344407,160,0.2
139,18,48640,-1.4370218130100332,280.3695652173913,1,0.8785349726676941,0.008687176,0.16765668044487636,0.0003,-1.8679515401522317,0.010144268798952302,-0.02888718619942665,-0.017641636054031552,170,0.2
184,13,51200,-1.370765640404672,281.22680412371136,1,0.8630492687225342,0.011223765,0.08310344857163728,0.0003,-1.04731315523386,0.021251899586059154,-0.040622059255838394,-0.015998599900922273,180,0.2
139,18,53760,-1.3655155239304186,289.19,1,0.8158506155014038,0.04504606,0.106997175142169,0.0003,-1.1757880960192,0.006498404046786683,-0.036760251969099045,-0.014050184449713145,185,0.2
170,14,56320,-1.3538304350808295,291.8,1,0.8311095833778381,0.013563198,0.0938248393125832,0.0003,-1.3178582588831584,0.014005063303435842,-0.030179575085639954,-0.018176182980338733,195,0.2
242,10,58880,-1.2951943029728716,301.35,1,0.6472408771514893,0.04212924,0.10003952194864933,0.0003,-0.8523101256443903,0.010748080354040632,-0.04291503131389618,-0.016848778495421775,204,0.2
65,38,61440,-1.339072054897199,298.08,1,0.901450514793396,0.014294242,0.12475911471992732,0.0003,-1.3475024104118347,0.00951105197891593,-0.03684721887111664,-0.01404657630082511,214,0.2
242,10,64000,-1.293086079605273,296.86,1,0.7075431942939758,0.020328764,0.12763341426849364,0.0003,-1.1839931917190551,0.027485213130712508,-0.037513040006160736,-0.022537832615198566,224,0.2
71,35,66560,-1.288463088603217,298.82,1,0.8819019794464111,0.027008656,0.181640625,0.0003,-2.6258495450019836,0.007135717157507315,-0.0984044224023819,-0.019731062371283768,234,0.2
106,23,69120,-1.3052187946689393,301.57,1,0.7303747534751892,0.014141499,0.11529822815209627,0.0003,-1.3702955842018127,0.012270489695947618,-0.04439084976911545,-0.019833157792163547,244,0.2
74,34,71680,-1.4008799396456433,311.87,1,0.6008556485176086,0.013839404,0.1462439917648832,0.0003,-1.9230058908462524,0.02893810346722603,-0.04179741069674492,-0.020642876353425283,254,0.2
100,25,74240,-1.4807853281646366,310.6,1,0.8662770986557007,0.018460507,0.1279725103173405,0.0003,-1.3006141424179076,0.027016282236824434,-0.057871367782354355,-0.025664701232744846,264,0.2
205,12,76800,-1.4463913899876994,310.83,1,0.8799355626106262,0.017036034,0.100597460133334,0.0003,-1.2054205536842346,0.022207840687284867,-0.05171870440244675,-0.021201607636370075,274,0.2
64,39,79360,-1.4238223374258674,313.42,1,0.8808270692825317,0.020734634,0.17349999882280825,0.0003,-2.434624171257019,0.0033813090878538786,-0.07207109779119492,-0.02173467759275809,284,0.2
202,12,81920,-1.423493747707151,321.07,1,0.6978181600570679,0.04574139,0.09047217592142703,0.0003,-0.789134400646861,0.023489812684313553,-0.034650761634111404,-0.017177389071481985,293,0.2
110,23,84480,-1.453680215008865,325.29,1,0.8183664083480835,0.01807333,0.14558442551642656,0.0003,-1.3112900018692017,0.004386878723744303,-0.04463650658726692,-0.023839120776392518,303,0.2
201,12,87040,-1.4852879432828803,325.72,1,0.634421706199646,0.020340463,0.11088309220504015,0.0003,-0.9139037922024726,0.016233924473635853,-0.04925251379609108,-0.021407382341567426,313,0.2
85,30,89600,-1.071571978015568,325.72,1,0.8067818284034729,0.011775274,0.13280677972361446,0.0003,-2.0640088319778442,0.004753933555912226,-0.06261318176984787,-0.02372485034284182,323,0.2
113,22,92160,-1.0660702457464841,323.07,1,0.9354555010795593,0.01716284,0.12745706101413817,0.0003,-1.1888935327529908,0.005876371070432166,-0.05533286929130554,-0.025374987620549898,333,0.2
223,11,94720,-1.2179619098703927,320.76,1,0.664838433265686,0.017168323,0.13979492236394436,0.0003,-1.9502131372690201,0.06732228714972735,-0.050033293664455414,-0.022679267192143016,343,0.2
116,22,97280,-1.1805465160937405,321.5,1,0.9194115400314331,0.017895216,0.13409978724084795,0.0003,-2.5380608439445496,0.0035683669499121605,-0.0561390221118927,-0.019822840113192797,353,0.2
233,10,99840,-1.2139529782230536,320.41,1,0.837138831615448,0.024290815,0.18781291507184505,0.0003,-1.5400523722171784,0.022004956495948136,-0.050709791481494904,-0.028631167809362524,363,0.2
142,18,102400,-1.11612409508781,318.36,1,0.8468235731124878,0.022917118,0.16632098024711012,0.0003,-2.124252808094025,0.03105436135083437,-0.0574658140540123,-0.02643672899575904,373,0.2
369,6,104960,-1.1084125757421013,314.69,1,0.7359707951545715,0.014841182,0.13473321052733808,0.0003,-1.3898880273103713,0.01393290152773261,-0.061805445700883865,-0.023275514420129186,383,0.2
281,9,107520,-0.9973890665748125,314.42,1,0.8239744901657104,0.01849451,0.19624713007360697,0.0003,-2.144968597094218,0.005795429126980404,-0.049089472740888596,-0.02536679826832066,393,0.2
205,12,110080,-1.0010197916126848,305.11,1,0.9055850505828857,0.013601746,0.14010788798332213,0.0003,-1.8361163496971131,0.007344975718297064,-0.04295643791556358,-0.020249162633748104,403,0.2
385,6,112640,-1.0010197916126848,305.11,1,0.8164372444152832,0.012027542,0.09410820690294107,0.0003,-1.2486252705256145,0.015800600033253433,-0.04607228562235832,-0.018771780390913286,413,0.2
157,16,115200,-1.0141619188756064,305.31,1,0.9653142690658569,0.012755393,0.074609375,0.0003,-1.2571747303009033,0.0024391444167122245,-0.034627482295036316,-0.012900341814383865,423,0.2
281,9,117760,-1.0296431703644664,305.76,1,0.8139380216598511,0.018121455,0.15283666229806842,0.0003,-1.5283130824565887,0.015820300730410963,-0.05001438781619072,-0.028558662184514104,433,0.2
144,17,120320,-1.062822186576263,303.99,1,0.7705968022346497,0.02063442,0.19081329934997485,0.0003,-2.55363644361496,0.02970627648755908,-0.05750402808189392,-0.022097788037353894,443,0.2
